recipient_domain,verdict,detail,mail_server,addresses,address_count,brands
drazze.casino,accepts mail,1 mail server(s),mail.drazzewin.com,partners@drazze.casino,1,Drazze
dustbit.com,accepts mail,1 mail server(s),smtp.google.com,support@dustbit.com,1,Dustbit
egb.com,accepts mail,5 mail server(s),aspmx.l.google.com,roman@egb.com,1,Побеждай с EGB
egbaffiliates.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@egbaffiliates.com,1,"Rush the Game, Win with EGB"
elvisluck.net,accepts mail,1 mail server(s),parkmail.dynadot.com,hello@elvisluck.net,1,ElvisLuck
email.com,accepts mail,2 mail server(s),mx01.mail.com,you@email.com,1,GrailDraw
energiekasino.com,accepts mail,5 mail server(s),aspmx.l.google.com,support_de@energiekasino.com,1,EnergieKasino
enomocasino.com,accepts mail,1 mail server(s),smtp.google.com,support@enomocasino.com,1,Еномо Казино
eternalslots.com,accepts mail,1 mail server(s),mail.eternalslots.com,affiliate@eternalslots.com,1,Eternalslots
evetabi.com,accepts mail,1 mail server(s),mail.mailaza.com,info@evetabi.com,1,EvetAbi
evospin.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@evospin.com,1,evospin
ezcash.casino,accepts mail,2 mail server(s),mx2.privateemail.com,support@ezcash.casino,1,EZCASH
f7casino.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@f7casino.com,1,ᐈ F7casino
fairpari.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@fairpari.partners,1,fairpari | Fair Pari Casino
fanpartners.bet,accepts mail,2 mail server(s),mail.techmaildomain.com,info@fanpartners.bet,1,fansport
fastpari.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@fastpari.partners,1,fastpari
fastpay-casino.com,accepts mail,2 mail server(s),mx1.privateemail.com,affiliates@fastpay-casino.com,1,Casino 4U | Cobber Casino
fenixbet.online,accepts mail,3 mail server(s),mx3.zoho.com,support@fenixbet.online,1,FenixBet
fireball.casino,accepts mail,5 mail server(s),aspmx.l.google.com,support@fireball.casino,1,fireball
firstclass.partners,accepts mail,2 mail server(s),mail.firstclass.partners,partners@firstclass.partners,1,ᐈ Slotrize
fixbet.com,accepts mail,3 mail server(s),mx.zoho.com,destek@fixbet.com,1,Fixbet
fixplay.pe,accepts mail,3 mail server(s),smtp.secureserver.net,soporte@fixplay.pe,1,Betting website
fortislots.com,accepts mail,1 mail server(s),_dc-mx.4ff8e39df159.fortislots.com,support@fortislots.com,1,Fortislots
fortunate.partners,accepts mail,5 mail server(s),aspmx.l.google.com,info@fortunate.partners,1,Lets Lucky Casino | Lucky Ones Casino - | Lucky Dreams Casino
fortunazone.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@fortunazone.com,1,Fortunazone Slots
fortunehub.io,accepts mail,3 mail server(s),mx1-hosting.jellyfish.systems,support@fortunehub.io,1,Fortune HUB
fortuzino.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@fortuzino.com,1,ᐈ Fortuzino
forzabet.live,accepts mail,1 mail server(s),smtp.google.com,support@forzabet.live,1,Forza.Bet
foxslots.com,accepts mail,1 mail server(s),smtp.google.com,affiliates@foxslots.com,1,Fox Slots Casino
freakybillion.com,accepts mail,1 mail server(s),_dc-mx.29afd9d65f80.freakybillion.com,support@freakybillion.com,1,freakybillion
friends-casino.vg,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,support@friends-casino.vg,1,friendscasino
fruitypartners.com,accepts mail,1 mail server(s),smtp.google.com,contact@fruitypartners.com,1,Tervetuloa Kaahaus Kasinolle | Spinnaus Kasino
ftdgallery.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@ftdgallery.com,1,ᐈ Billionairespin | ᐈ Spinogambino | ᐈ Spinania
funbahis.com,accepts mail,5 mail server(s),aspmx.l.google.com,destek@funbahis.com,1,Funbahis
funbet.me,accepts mail,5 mail server(s),aspmx.l.google.com,reach.us@funbet.me,1,Funbet
funnz.partners,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@funnz.partners,1,CasinoFriday
funpari.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@funpari.partners,1,funpari
g4mbit.com,accepts mail,1 mail server(s),inbound-smtp.eu-west-1.amazonaws.com,support@g4mbit.com,1,G4mbit
galaxyaffiliates.com,accepts mail,3 mail server(s),mx1.pub.mailpod8-cph3.one.com,samson.rosarey@galaxyaffiliates.com,1,Fortune Mobile Casino
gamblerina.com,accepts mail,12 mail server(s),aspmx.l.google.com,support@gamblerina.com,1,ᐈ Gamblerina
gamblingcraft.com,accepts mail,1 mail server(s),mail.gamblingcraft.com,support@gamblingcraft.com,1,playfortuna | booi | jozz | winity
gamblit.net,accepts mail,2 mail server(s),mail.protonmail.ch,support@gamblit.net,1,Gamblit
gamdom.com,accepts mail,2 mail server(s),in1-smtp.messagingengine.com,support@gamdom.com,1,Gamdom
game.com,accepts mail,2 mail server(s),mxbiz1.qq.com,support@game.com,1,RICHEVO
gamealotroyale.com,accepts mail,1 mail server(s),smtp.google.com,support@gamealotroyale.com,1,Gamealotroyale
gamegrow.partners,accepts mail,2 mail server(s),sendercow.com,affiliate@gamegrow.partners,1,SpinGreen | Ampm
gamwiz.com,accepts mail,2 mail server(s),mx1.timeweb.ru,support@gamwiz.com,1,Gamwiz
ganamega.net,accepts mail,3 mail server(s),MX4.EMAILOWL.COM,support@ganamega.net,1,GanaMega
ganare.com,accepts mail,1 mail server(s),ganare-com.mail.protection.outlook.com,partners@ganare.com,1,Ganare
gbetplay.net,accepts mail,5 mail server(s),eforward3.registrar-servers.com,abuse@gbetplay.net,1,Gbet
getwin.online,accepts mail,1 mail server(s),_dc-mx.11d3936ead25.getwin.online,support@getwin.online,1,Getwin
glitzbets.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@glitzbets.com,1,ᐈ Glitzbets
glory.bet,accepts mail,7 mail server(s),aspmx.l.google.com,support@glory.bet,1,Casino
gmail.com,accepts mail,5 mail server(s),gmail-smtp-in.l.google.com,chupurnov@gmail.com cola@gmail.com,2,Betmarino | Cola.com
gold.casino,accepts mail,1 mail server(s),mail.gold.casino,admin@gold.casino,1,Gold
gorillacasinos.com,"accepts (A record, no MX)",104.21.22.199,,info@gorillacasinos.com,1,Gorilla
grandbetting.com,accepts mail,1 mail server(s),grandbetting.emailzones.com,destek@grandbetting.com,1,Grandbetting
grizzly.bingo,accepts mail,1 mail server(s),mail.postale.io,affiliate@grizzly.bingo,1,Grizzly
grombet.com,accepts mail,1 mail server(s),mail.grombet.com,support@grombet.com,1,grombet
growe.partners,accepts mail,5 mail server(s),aspmx.l.google.com,support@growe.partners,1,com
hellpartners.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@hellpartners.com,1,Loading... | Ivibet
hellspin.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@hellspin.com,1,Hell Spin Casino
herogaming.com,accepts mail,1 mail server(s),herogaming-com.mail.protection.outlook.com,affiliates@herogaming.com,1,Nolimit | UnlimitedBet
heroicaffiliates.com,accepts mail,5 mail server(s),aspmx.l.google.com,affiliates@heroicaffiliates.com,1,Voodoo
hodl.partners,accepts mail,6 mail server(s),aspmx.l.google.com,info@hodl.partners,1,Betmac Casino
hornetbet.com,accepts mail,1 mail server(s),mx.hornetbet.com,affiliate@hornetbet.com,1,Hornetbet
howl.gg,accepts mail,5 mail server(s),aspmx.l.google.com,partnerships@howl.gg,1,Howl
howzit.com,accepts mail,1 mail server(s),howzit.com,partners@howzit.com,1,Howzit.com
hustle-partners.com,accepts mail,1 mail server(s),smtp.google.com,affiliates@hustle-partners.com,1,ᐈ Rockyspin | ᐈ Manekispin
hyperoll.com,accepts mail,2 mail server(s),mail.protonmail.ch,contact@hyperoll.com,1,Hyperoll Crypto
hyperwin.org,accepts mail,1 mail server(s),hyperwin-org.mail.protection.outlook.com,support@hyperwin.org,1,Hyperwin
iceaffiliates.com,accepts mail,1 mail server(s),smtp.google.com,affiliates@iceaffiliates.com,1,beatbet
income-network.com,accepts mail,1 mail server(s),mail.income-network.com,affiliates@income-network.com,1,The Online Casino
income88.com,accepts mail,5 mail server(s),aspmx.l.google.com,info@income88.com,1,Live Casino House
infernopartners.com,accepts mail,1 mail server(s),smtp.google.com,winwith@infernopartners.com,1,Starzbet
infinitystarspartners.com,accepts mail,3 mail server(s),mx.zoho.com,info@infinitystarspartners.com,1,21Bets
instaslots.com,accepts mail,5 mail server(s),aspmx.l.google.com,hey@instaslots.com,1,Instaslots
intellectbet.com,accepts mail,1 mail server(s),_dc-mx.8337daee55f4.intellectbet.com,support@intellectbet.com,1,intellectbet
ivibet.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@ivibet.com,1,Ivibet Casino
iwildpartners.com,accepts mail,5 mail server(s),aspmx.l.google.com,info@iwildpartners.com,1,snatchcasino | Snatch Casino
j8de.io,accepts mail,1 mail server(s),smtp.google.com,support@j8de.io,1,J8DE
jackpotjill.com,accepts mail,1 mail server(s),mail.jackpotjill.com,docs@jackpotjill.com,1,jackpotjill
jackpotraider.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@jackpotraider.com,1,ᐈ JackpotRaider
jb.com,accepts mail,2 mail server(s),mail.protonmail.ch,business@jb.com,1,JB.GAME
jeetboost.com,accepts mail,1 mail server(s),smtp.google.com,support@jeetboost.com,1,jeetboost
jeevybet.com,accepts mail,1 mail server(s),smtp.google.com,support@jeevybet.com,1,Jeevybet
jetton.games,accepts mail,5 mail server(s),aspmx.l.google.com,info.partners@jetton.games,1,JetTon Games
jimpartners.com,accepts mail,2 mail server(s),mx.sendgrid.net,support-jp@jimpartners.com,1,Site unavailable | Slottyway Casino | Spinamba Casino | Spinado Casino
jokertipp.com,accepts mail,3 mail server(s),route1.mx.cloudflare.net,support@jokertipp.com,1,Joker Tipp
jonbet.com,accepts mail,1 mail server(s),smtp.google.com,partners@jonbet.com,1,jonbet | jon
justcasino.io,accepts mail,5 mail server(s),aspmx.l.google.com,support@justcasino.io,1,justcasino
jvspinbet.com,accepts mail,5 mail server(s),aspmx.l.google.com,partners@jvspinbet.com,1,Access to website is restricted
katanaspin.com,accepts mail,7 mail server(s),aspmx.l.google.com,support@katanaspin.com,1,ᐈ Katanaspin
keeponwin.com,accepts mail,1 mail server(s),smtp.google.com,support@keeponwin.com,1,Keep On Win
keyzino.com,accepts mail,1 mail server(s),mail.supportrelay.net,support@keyzino.com,1,Keyzino
kheli.bet,accepts mail,1 mail server(s),smtp.google.com,info@kheli.bet,1,Kheli
kiekka.com,accepts mail,5 mail server(s),aspmx.l.google.com,u003eloyalty@kiekka.com,1,Kiekka pikakasino
kilobetsupport.com,accepts mail,1 mail server(s),smtp.google.com,support@kilobetsupport.com,1,KiloBet
kingbilly.partners,accepts mail,3 mail server(s),linda.mx.cloudflare.net,affiliates@kingbilly.partners,1,Tombriches
kingrevenue.com,accepts mail,1 mail server(s),smtp.google.com,affiliates@kingrevenue.com,1,Casino
kirabet.com,accepts mail,2 mail server(s),mx2.privateemail.com,info@kirabet.com,1,Kira.Bet
kirgo.io,"accepts (A record, no MX)",104.239.72.145,,support@kirgo.io,1,KIRGO
kng.partners,accepts mail,5 mail server(s),aspmx.l.google.com,manager@kng.partners,1,Vegas
krollbit.partners,accepts mail,1 mail server(s),krollbit.partners,support@krollbit.partners,1,Kraken casino
kush.casino,accepts mail,1 mail server(s),smtp.google.com,support@kush.casino,1,Kush
latribet.ec,accepts mail,1 mail server(s),services.chacrunamarketing.com,info@latribet.ec afiliados@latribet.ec,2,latribet | Rojabet Chile
lavbet.com,accepts mail,5 mail server(s),aspmx.l.google.com,support@lavbet.com,1,LavBet
legendaffiliates.com,accepts mail,5 mail server(s),aspmx.l.google.com,managers@legendaffiliates.com,1,Cherry Jackpot
legionaffs.com,accepts mail,1 mail server(s),smtp.google.com,support@legionaffs.com,1,ᐈ Roulettino
