brand,domain,site,operator,licence,issued,expiry,already_listed,contact_url_guess,contact_email,status,contacted_on,notes
Pasino,pasino.io,https://pasino.io,3-102-944648 SRL,ALSI-202606042-FI2,2026-06-30,2027-06-29,yes,https://pasino.io/contact,,not contacted,,
Pampas,pampas.casino,https://pampas.casino,3-102-947776 Limitada,ALSI-202606043-FI2,2026-06-30,2027-06-29,yes,https://pampas.casino/contact,,not contacted,,
Pampas,pampas.bet,https://pampas.bet,3-102-947776 Limitada,ALSI-202606043-FI2,2026-06-30,2027-06-29,yes,https://pampas.bet/contact,,not contacted,,
Audia6,audia6.casino,https://audia6.casino,3-102-956791 SRL,ALSI-202606044-FI2,2026-06-30,2027-06-29,yes,https://audia6.casino/contact,,not contacted,,
Drawzilla,drawzilla.com,https://drawzilla.com,3-102-958035 SRL,ALSI-202606045-FI2,2026-06-30,2027-06-29,yes,https://drawzilla.com/contact,,not contacted,,
4rabet,4rabet.com,https://4rabet.com,3-102-958036 SRL,ALSI-202606046-FI2,2026-06-30,2027-06-29,yes,https://4rabet.com/contact,,not contacted,,
Sekabet,sekabet.com,https://sekabet.com,3-102-958495 SRL,ALSI-202606047-FI2,2026-06-30,2027-06-29,yes,https://sekabet.com/contact,,not contacted,,
Reroll,reroll.gg,https://reroll.gg,3-102-958716 SRL,ALSI-202606070-FI2,2026-06-30,2027-06-29,yes,https://reroll.gg/contact,,not contacted,,
Metaspins,metaspins.com,https://metaspins.com,3-102-959384 SRL,ALSI-202606048-FI2,2026-06-30,2027-06-29,yes,https://metaspins.com/contact,,not contacted,,
Nonnaspin,nonnaspin.co,https://nonnaspin.co,3-102-959531 SRL,ALSI-202606049-FI2,2026-06-30,2027-06-29,yes,https://nonnaspin.co/contact,,not contacted,,
Katana,katana.game,https://katana.game,3-102-960204 SRL,ALSI-202606041-FI2,2026-06-30,2027-06-29,yes,https://katana.game/contact,,not contacted,,
Vaultbet,vaultbet.com,https://vaultbet.com,3-102-961134 SRL,ALSI-202606050-FI2,2026-06-30,2027-06-29,yes,https://vaultbet.com/contact,,not contacted,,
Nebulacasinos,nebulacasinos.com,https://nebulacasinos.com,3-102-963007 SRL,ALSI-202606053-FI2,2026-06-30,2027-06-29,yes,https://nebulacasinos.com/contact,,not contacted,,
Rollion,rollion.bet,https://rollion.bet,3-102-963320 SRL,ALSI-202606054-FI2,2026-06-30,2027-06-29,yes,https://rollion.bet/contact,,not contacted,,
Spingeek,spingeek.com,https://spingeek.com,3-102-964420 SRL,ALSI-202606055-FI2,2026-06-30,2027-06-29,yes,https://spingeek.com/contact,,not contacted,,
Primeroll,primeroll.xyz,https://primeroll.xyz,Altaprime Holding SRL,ALSI-202606062-FI2,2026-06-30,2027-06-29,yes,https://primeroll.xyz/contact,,not contacted,,
Bwinners,bwinners.com,https://bwinners.com,Better Place Ltd,ALSI-202606066-FI2,2026-06-30,2027-06-29,yes,https://bwinners.com/contact,,not contacted,,
Litbit,litbit.com,https://litbit.com,Digital Systems Ltd,ALSI-202606033-FI2,2026-06-30,2027-06-29,yes,https://litbit.com/contact,,not contacted,,
Putki,putki.com,https://putki.com,Dravecourt Ltd,ALSI-202606065-FI2,2026-06-30,2027-06-29,yes,https://putki.com/contact,,not contacted,,
Asianconnect88,asianconnect88.com,https://asianconnect88.com,KageBridge Ltd,ALSI-202606034-FI2,2026-06-30,2027-06-29,yes,https://asianconnect88.com/contact,,not contacted,,
Asianodds88,asianodds88.com,https://asianodds88.com,KageBridge Ltd,ALSI-202606034-FI2,2026-06-30,2027-06-29,yes,https://asianodds88.com/contact,,not contacted,,
Ncc,ncc.bet,https://ncc.bet,Luminex Synergy Collective Ltd,ALSI-202606035-FI2,2026-06-30,2027-06-29,yes,https://ncc.bet/contact,,not contacted,,
Newcasino,newcasino.bet,https://newcasino.bet,Luminex Synergy Collective Ltd,ALSI-202606035-FI2,2026-06-30,2027-06-29,yes,https://newcasino.bet/contact,,not contacted,,
Yaru,yaru.bet,https://yaru.bet,Novaltrix Global Ventures Ltd,ALSI-202606037-FI2,2026-06-30,2027-06-29,yes,https://yaru.bet/contact,,not contacted,,
Vagosbet,vagosbet.io,https://vagosbet.io,Playage Tech LTD,ALSI-202606069-FI2,2026-06-30,2027-06-29,yes,https://vagosbet.io/contact,,not contacted,,
Anybetx,anybetx.com,https://anybetx.com,Playvex Ltd,ALSI-202606038-FI2,2026-06-30,2027-06-29,yes,https://anybetx.com/contact,,not contacted,,
Rtpgold,rtpgold.com,https://rtpgold.com,Playvex Ltd,ALSI-202606038-FI2,2026-06-30,2027-06-29,yes,https://rtpgold.com/contact,,not contacted,,
Clublucky7,clublucky7.com,https://clublucky7.com,Playvex Ltd,ALSI-202606038-FI2,2026-06-30,2027-06-29,yes,https://clublucky7.com/contact,,not contacted,,
Dazzwin,dazzwin.com,https://dazzwin.com,Playvex Ltd,ALSI-202606038-FI2,2026-06-30,2027-06-29,yes,https://dazzwin.com/contact,,not contacted,,
Playvora,playvora.games,https://playvora.games,Playvora Ltd,ALSI-202511018-FI1,2026-06-30,2027-06-29,yes,https://playvora.games/contact,,not contacted,,
Primeplay777,primeplay777.bet,https://primeplay777.bet,Prime Digital Ventures Ltd,ALSI-202606036-FI2,2026-06-30,2027-06-29,yes,https://primeplay777.bet/contact,,not contacted,,
Odds96,odds96.com,https://odds96.com,QUANTO Ltd,ALSI-202606039-FI2,2026-06-30,2027-06-29,yes,https://odds96.com/contact,,not contacted,,
Sportaza,sportaza.com,https://sportaza.com,Rocketship Ventures SRL,ALSI-202606064-FI2,2026-06-30,2027-06-29,yes,https://sportaza.com/contact,,not contacted,,
7signs,7signs.com,https://7signs.com,Rocketship Ventures SRL,ALSI-202606064-FI2,2026-06-30,2027-06-29,yes,https://7signs.com/contact,,not contacted,,
5gringos,5gringos.com,https://5gringos.com,Rocketship Ventures SRL,ALSI-202606064-FI2,2026-06-30,2027-06-29,yes,https://5gringos.com/contact,,not contacted,,
Novbet,novbet.com,https://novbet.com,3-102-946976 SRL,ALSI-202606002-FI1,2026-06-12,2027-06-11,yes,https://novbet.com/contact,,not contacted,,
Spinnwon,spinnwon.com,https://spinnwon.com,3-102-946976 SRL,ALSI-202606002-FI1,2026-06-12,2027-06-11,yes,https://spinnwon.com/contact,,not contacted,,
Spinsson,spinsson.com,https://spinsson.com,3-102-948994 SRL,ALSI-202606033-FI1,2026-06-12,2027-06-11,yes,https://spinsson.com/contact,,not contacted,,
Slotpilot,slotpilot.com,https://slotpilot.com,3-102-950932 SRL,ALSI-202606003-FI1,2026-06-12,2027-06-11,yes,https://slotpilot.com/contact,,not contacted,,
Betterplayerwin,betterplayerwin.com,https://betterplayerwin.com,3-102-952291 SRL,ALSI-202606004-FI1,2026-06-12,2027-06-11,yes,https://betterplayerwin.com/contact,,not contacted,,
Zeppelin,zeppelin.games,https://zeppelin.games,3-102-954481 SRL,ALSI-202606005-FI1,2026-06-12,2027-06-11,yes,https://zeppelin.games/contact,,not contacted,,
Tgr,tgr.casino,https://tgr.casino,3-102-956042 SRL,ALSI-202606006-FI1,2026-06-12,2027-06-11,yes,https://tgr.casino/contact,,not contacted,,
Luckylagoon,luckylagoon.live,https://luckylagoon.live,3-102-956421 SRL,ALSI-202606007-FI1,2026-06-12,2027-06-11,yes,https://luckylagoon.live/contact,,not contacted,,
Betbong,betbong.co,https://betbong.co,3-102-958313 SRL,ALSI-202606008-FI1,2026-06-12,2027-06-11,yes,https://betbong.co/contact,,not contacted,,
57casino,57casino.com,https://57casino.com,3-102-959035 SRL,ALSI-202606009-FI1,2026-06-12,2027-06-11,yes,https://57casino.com/contact,,not contacted,,
Betibu,betibu.io,https://betibu.io,3-102-959502 SRL,ALSI-202606010-FI1,2026-06-12,2027-06-11,yes,https://betibu.io/contact,,not contacted,,
Desi Casino,desi-casino.in,https://desi-casino.in,3-102-959976 SRL,ALSI-202606011-FI1,2026-06-12,2027-06-11,yes,https://desi-casino.in/contact,,not contacted,,
Ludivion,ludivion.com,https://ludivion.com,3-102-960253 SRL,ALSI-202606012-FI1,2026-06-12,2027-06-11,yes,https://ludivion.com/contact,,not contacted,,
Ludivion,ludivion.io,https://ludivion.io,3-102-960253 SRL,ALSI-202606012-FI1,2026-06-12,2027-06-11,yes,https://ludivion.io/contact,,not contacted,,
Only,only.win,https://only.win,3-102-961232 LIMITADA,ALSI-202606013-FI1,2026-06-12,2027-06-11,yes,https://only.win/contact,,not contacted,,
Sevenreels,sevenreels.com,https://sevenreels.com,3-102-961232 LIMITADA,ALSI-202606013-FI1,2026-06-12,2027-06-11,yes,https://sevenreels.com/contact,,not contacted,,
Winro,winro.com,https://winro.com,3-102-961232 LIMITADA,ALSI-202606013-FI1,2026-06-12,2027-06-11,yes,https://winro.com/contact,,not contacted,,
Crazypot,crazypot.bet,https://crazypot.bet,3-102-961515 SRL,ALSI-202606014-FI1,2026-06-12,2027-06-11,yes,https://crazypot.bet/contact,,not contacted,,
Trillix,trillix.com,https://trillix.com,3-102-963256 SRL,ALSI-202606016-FI1,2026-06-12,2027-06-11,yes,https://trillix.com/contact,,not contacted,,
Rivo,rivo.casino,https://rivo.casino,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://rivo.casino/contact,,not contacted,,
Gambliicasino,gambliicasino.io,https://gambliicasino.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://gambliicasino.io/contact,,not contacted,,
777seven,777seven.casino,https://777seven.casino,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://777seven.casino/contact,,not contacted,,
Gxmble Casino,gxmble-casino.io,https://gxmble-casino.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://gxmble-casino.io/contact,,not contacted,,
Slottio,slottio.io,https://slottio.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://slottio.io/contact,,not contacted,,
Spin Time,spin-time.io,https://spin-time.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://spin-time.io/contact,,not contacted,,
Spinwin,spinwin.to,https://spinwin.to,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://spinwin.to/contact,,not contacted,,
Winstlercasino,winstlercasino.io,https://winstlercasino.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://winstlercasino.io/contact,,not contacted,,
Winztercasino,winztercasino.io,https://winztercasino.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://winztercasino.io/contact,,not contacted,,
Thepalmcasino,thepalmcasino.io,https://thepalmcasino.io,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://thepalmcasino.io/contact,,not contacted,,
Gambleton,gambleton.com,https://gambleton.com,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://gambleton.com/contact,,not contacted,,
Rapter,rapter.com,https://rapter.com,Exceptiosoft LTD,ALSI-202606020-FI1,2026-06-12,2027-06-11,yes,https://rapter.com/contact,,not contacted,,
Masterbets365,masterbets365.com,https://masterbets365.com,Globalsoft Limited,ALSI-202606022-FI1,2026-06-12,2027-06-11,yes,https://masterbets365.com/contact,,not contacted,,
1000halla,1000halla.com,https://1000halla.com,Halla Group Ltd,ALSI-202606023-FI1,2026-06-12,2027-06-11,yes,https://1000halla.com/contact,,not contacted,,
Slotstake,slotstake.com,https://slotstake.com,Nevada Partners Limited,ALSI-202606025-FI1,2026-06-12,2027-06-11,yes,https://slotstake.com/contact,,not contacted,,
Winzz,winzz.bet,https://winzz.bet,Orion Future Limitada,ALSI-202606026-FI1,2026-06-12,2027-06-11,yes,https://winzz.bet/contact,,not contacted,,
Rolls,rolls.bet,https://rolls.bet,Orion Future Limitada,ALSI-202606026-FI1,2026-06-12,2027-06-11,yes,https://rolls.bet/contact,,not contacted,,
Here2win,here2win.com,https://here2win.com,Rancho Mirage Limited,ALSI-202606028-FI1,2026-06-12,2027-06-11,yes,https://here2win.com/contact,,not contacted,,
Me88,me88.com,https://me88.com,S Tier Solutions Ltd,ALSI-202606029-FI1,2026-06-12,2027-06-11,yes,https://me88.com/contact,,not contacted,,
Me88pro,me88pro.net,https://me88pro.net,S Tier Solutions Ltd,ALSI-202606029-FI1,2026-06-12,2027-06-11,yes,https://me88pro.net/contact,,not contacted,,
Wtf,wtf.games,https://wtf.games,Spinlab Management LLC,ALSI-202606032-FI1,2026-06-12,2027-06-11,yes,https://wtf.games/contact,,not contacted,,
Rbet,rbet.com,https://rbet.com,Spinlab Management LLC,ALSI-202606032-FI1,2026-06-12,2027-06-11,yes,https://rbet.com/contact,,not contacted,,
Owl,owl.games,https://owl.games,Wise Pixel Gaming LTD,ALSI-202605011-FI1,2026-05-31,2027-05-30,yes,https://owl.games/contact,,not contacted,,
Ttcasino,ttcasino.io,https://ttcasino.io,Wise Pixel Gaming LTD,ALSI-202605011-FI1,2026-05-31,2027-05-30,yes,https://ttcasino.io/contact,,not contacted,,
Web3poker,web3poker.com,https://web3poker.com,Wise Pixel Gaming LTD,ALSI-202605011-FI1,2026-05-31,2027-05-30,yes,https://web3poker.com/contact,,not contacted,,
Terracasino,terracasino.io,https://terracasino.io,Wise Pixel Gaming LTD,ALSI-202605011-FI1,2026-05-31,2027-05-30,yes,https://terracasino.io/contact,,not contacted,,
Slotorado,slotorado.com,https://slotorado.com,3-102-940408 SRL,ALSI-202605037-FI2,2026-05-29,2027-05-28,yes,https://slotorado.com/contact,,not contacted,,
Playzini,playzini.com,https://playzini.com,3-102-951277 SRL,ALSI-202605071-FI2,2026-05-29,2027-05-28,yes,https://playzini.com/contact,,not contacted,,
Noodlespin,noodlespin.com,https://noodlespin.com,3-102-951280 SRL,ALSI-202605070-FI2,2026-05-29,2027-05-28,yes,https://noodlespin.com/contact,,not contacted,,
Goldspinia,goldspinia.com,https://goldspinia.com,3-102-951280 SRL,ALSI-202605070-FI2,2026-05-29,2027-05-28,yes,https://goldspinia.com/contact,,not contacted,,
Monkeyzino,monkeyzino.com,https://monkeyzino.com,3-102-951280 SRL,ALSI-202605070-FI2,2026-05-29,2027-05-28,yes,https://monkeyzino.com/contact,,not contacted,,
Pump,pump.io,https://pump.io,3-102-951349 LIMITADA,ALSI-202605039-FI2,2026-05-29,2027-05-28,yes,https://pump.io/contact,,not contacted,,
Dg Kin,dg-kin.com,https://dg-kin.com,3-102-953403 SRL,ALSI-202605036-FI2,2026-05-29,2027-05-28,yes,https://dg-kin.com/contact,,not contacted,,
1mlnbetofficial,1mlnbetofficial.com,https://1mlnbetofficial.com,3-102-953403 SRL,ALSI-202605036-FI2,2026-05-29,2027-05-28,yes,https://1mlnbetofficial.com/contact,,not contacted,,
Orioncasino Official,orioncasino-official.com,https://orioncasino-official.com,3-102-953403 SRL,ALSI-202605036-FI2,2026-05-29,2027-05-28,yes,https://orioncasino-official.com/contact,,not contacted,,
Starkbet,starkbet.com,https://starkbet.com,3-102-958002 Limitada,ALSI-202605040-FI2,2026-05-29,2027-05-28,yes,https://starkbet.com/contact,,not contacted,,
Betnix,betnix.com,https://betnix.com,3-102-958341 SRL,ALSI-202605041-FI2,2026-05-29,2027-05-28,yes,https://betnix.com/contact,,not contacted,,
Lounge,lounge.casino,https://lounge.casino,3-102-959285 SRL,ALSI-202605042-FI2,2026-05-29,2027-05-28,yes,https://lounge.casino/contact,,not contacted,,
Cashier,cashier.casino,https://cashier.casino,3-102-959285 SRL,ALSI-202605042-FI2,2026-05-29,2027-05-28,yes,https://cashier.casino/contact,,not contacted,,
Sb,sb.center,https://sb.center,3-102-959285 SRL,ALSI-202605042-FI2,2026-05-29,2027-05-28,yes,https://sb.center/contact,,not contacted,,
Betcoin,betcoin.ag,https://betcoin.ag,3-102-961387 SRL,ALSI-202605043-FI2,2026-05-29,2027-05-28,yes,https://betcoin.ag/contact,,not contacted,,
30 Casino,30-casino.com,https://30-casino.com,3-102-961646 SRL,ALSI-202605044-FI2,2026-05-29,2027-05-28,yes,https://30-casino.com/contact,,not contacted,,
Lunaris,lunaris.casino,https://lunaris.casino,3-102-962754 SRL,ALSI-202605045-FI2,2026-05-29,2027-05-28,yes,https://lunaris.casino/contact,,not contacted,,
Swerte,swerte.casino,https://swerte.casino,Bikkie Games Ltd,ALSI-202605047-FI2,2026-05-29,2027-05-28,yes,https://swerte.casino/contact,,not contacted,,
Fafafa,fafafa.casino,https://fafafa.casino,Bikkie Games Ltd,ALSI-202605047-FI2,2026-05-29,2027-05-28,yes,https://fafafa.casino/contact,,not contacted,,
Blitzed,blitzed.io,https://blitzed.io,Blitzed Media Ltd,ALSI-202605048-FI2,2026-05-29,2027-05-28,yes,https://blitzed.io/contact,,not contacted,,
Betgrw,betgrw.com,https://betgrw.com,Conseil des Abénakis de Wôlinak,ALSI-202605049-FI2,2026-05-29,2027-05-28,yes,https://betgrw.com/contact,,not contacted,,
Slotime,slotime.com,https://slotime.com,Fortuna Interactive Limited,ALSI-202605052-FI2,2026-05-29,2027-05-28,yes,https://slotime.com/contact,,not contacted,,
Onlyspin,onlyspin.com,https://onlyspin.com,Fortuna Interactive Limited,ALSI-202605052-FI2,2026-05-29,2027-05-28,yes,https://onlyspin.com/contact,,not contacted,,
Ultraslot,ultraslot.com,https://ultraslot.com,Foxora Tech Ltd,ALSI-202605053-FI2,2026-05-29,2027-05-28,yes,https://ultraslot.com/contact,,not contacted,,
Rocktournament,rocktournament.com,https://rocktournament.com,Mad Matrix Solutions Ltd,ALSI-202605055-FI2,2026-05-29,2027-05-28,yes,https://rocktournament.com/contact,,not contacted,,
Knockout,knockout.global,https://knockout.global,Mad Matrix Solutions Ltd,ALSI-202605055-FI2,2026-05-29,2027-05-28,yes,https://knockout.global/contact,,not contacted,,
Moonsoft,moonsoft.org,https://moonsoft.org,MK Company Ltd,ALSI-202605057-FI2,2026-05-29,2027-05-28,yes,https://moonsoft.org/contact,,not contacted,,
Gamblecity,gamblecity.com,https://gamblecity.com,MOA Communications Ltd,ALSI-202605058-FI2,2026-05-29,2027-05-28,yes,https://gamblecity.com/contact,,not contacted,,
Operaroyal,operaroyal.com,https://operaroyal.com,New Gen Projects Group Ltd,ALSI-202605059-FI2,2026-05-29,2027-05-28,yes,https://operaroyal.com/contact,,not contacted,,
Mgamesbet,mgamesbet.com,https://mgamesbet.com,New Gen Projects Group Ltd,ALSI-202605059-FI2,2026-05-29,2027-05-28,yes,https://mgamesbet.com/contact,,not contacted,,
Nordabet,nordabet.com,https://nordabet.com,New Gen Projects Group Ltd,ALSI-202605059-FI2,2026-05-29,2027-05-28,yes,https://nordabet.com/contact,,not contacted,,
