tier,domain,brand,email,email_source,affiliate_url,affiliate_platform,operator,licence,expiry,vendors,regulator_seal,provider_count,sibling_brands,status,contacted_on
A,grandbetting.com,Grandbetting,,,,,Riotorto Digital LTD,ALSI-202601035-FI1,2027-01-14,licenseseal,yes,1,betticket.com bet10bet.com queenbet.com betlike.com,DRAFT ONLY — NOT SENT,
A,queenbet.com,Queenbet,,,,,Riotorto Digital LTD,ALSI-202601035-FI1,2027-01-14,licenseseal,yes,0,betticket.com bet10bet.com grandbetting.com betlike.com,DRAFT ONLY — NOT SENT,
A,betlike.com,Betlike,,,,,Riotorto Digital LTD,ALSI-202601035-FI1,2027-01-14,licenseseal,yes,0,betticket.com bet10bet.com grandbetting.com queenbet.com,DRAFT ONLY — NOT SENT,
A,betphoenix.ag,Betphoenix,,,,,International Radical Investment Ltd,ALSI-202509042-FI1,2027-09-15,quinel,yes,0,bogartcasino.ag skybook.ag betmania.ag,DRAFT ONLY — NOT SENT,
A,meritwin.com,Meritwin,,,,,Nowplatform Ltd.,ALSI-202509021-Fll,2026-09-15,gamecheck,yes,23,yasalbahis.com volacasino.com haydicasino.com,DRAFT ONLY — NOT SENT,
A,wpk.com,WePoker官网,,,,,High Gaming IT Services Limited,ALSI-202603023-FI1,2027-03-13,gaminglabs,no,0,pk8.com bahizz.com wepoker.com,DRAFT ONLY — NOT SENT,
A,wepoker.com,WePoker官网,,,,,High Gaming IT Services Limited,ALSI-202603023-FI1,2027-03-13,gaminglabs,no,0,pk8.com bahizz.com wpk.com,DRAFT ONLY — NOT SENT,
A,stack.bet,Stack.bet,,,,,3-102-936714 SRL,ALSI-202512010-FI1,2026-12-14,licenseseal,yes,0,,DRAFT ONLY — NOT SENT,
B,ligobet.com,Ligobet,marketing@ligobet.com,affiliate page,https://ligobet.com/partners,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com,DRAFT ONLY — NOT SENT,
B,starzbet.com,Starzbet,winwith@infernopartners.com,affiliate page,https://starzbet.com/partners,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com betpublic.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
B,dodobet.com,Dodobet global,marketing@dodobetglobal.com,affiliate page,https://dodobet.com/partners,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com,DRAFT ONLY — NOT SENT,
B,matadorbet.com,Matadorbet,destek@matadorbet.com,contact page,,,Galactic Infinity Ltd,ALSI-202511048-FI2,2026-11-29,,yes,0,zbahis.com fixbet.com bahis.com tipobet365.com sahabet.com betturkey.com tipobet.com,DRAFT ONLY — NOT SENT,
B,zbahis.com,Zbahis,support@zbahis.com,contact page,,,Galactic Infinity Ltd,ALSI-202511048-FI2,2026-11-29,,yes,0,matadorbet.com fixbet.com bahis.com tipobet365.com sahabet.com betturkey.com tipobet.com,DRAFT ONLY — NOT SENT,
B,spinman.com,Spinman,support@spinman.com,affiliate page,https://spinman.com/affiliates,,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,2026-09-29,,yes,12,yekbet.com ikasbet.com asyabahis.com dumanbet.com maltcasino.com olabahis.com pinbahis.com,DRAFT ONLY — NOT SENT,
B,partybet.ai,PartyBet,support@partybet.fun,affiliate page,https://partybet.ai/affiliate,,On Read SRL,ALSI-202508060-FI2,2026-08-28,,yes,0,partybet.app partybet.bot partybet.casino partybet.fun partybet.social partybet.win,DRAFT ONLY — NOT SENT,
B,partybet.casino,PartyBet,support@partybet.fun,affiliate page,https://partybet.casino/affiliate,,On Read SRL,ALSI-202508060-FI2,2026-08-28,,yes,0,partybet.ai partybet.app partybet.bot partybet.fun partybet.social partybet.win,DRAFT ONLY — NOT SENT,
B,partybet.fun,Partybet,support@partybet.fun,affiliate page,https://partybet.fun/affiliates,,On Read SRL,ALSI-202508060-FI2,2026-08-28,,yes,0,partybet.ai partybet.app partybet.bot partybet.casino partybet.social partybet.win,DRAFT ONLY — NOT SENT,
B,partybet.social,PartyBet,support@partybet.fun,affiliate page,https://partybet.social/affiliate,,On Read SRL,ALSI-202508060-FI2,2026-08-28,,yes,0,partybet.ai partybet.app partybet.bot partybet.casino partybet.fun partybet.win,DRAFT ONLY — NOT SENT,
B,partybet.bot,PartyBet,support@partybet.fun,affiliate page,https://partybet.bot/affiliate,,On Read SRL,ALSI-202508060-FI2,2026-08-28,,yes,0,partybet.ai partybet.app partybet.casino partybet.fun partybet.social partybet.win,DRAFT ONLY — NOT SENT,
B,partybet.win,PartyBet,support@partybet.fun,affiliate page,https://partybet.win/affiliate,,On Read SRL,ALSI-202508060-FI2,2026-08-28,,yes,0,partybet.ai partybet.app partybet.bot partybet.casino partybet.fun partybet.social,DRAFT ONLY — NOT SENT,
B,bizbet.mobi,BizBet Africa,support-en@africa-bizbet.com,contact page,,,Gameway Global LLC,ALSI-202511025-FI2,2026-11-29,,yes,0,africa-bizbet.com bizbet-biz.com bizbet.io mn-bizbet.io bizbet-au.com,DRAFT ONLY — NOT SENT,
B,bizbet-biz.com,Bizbet Biz,support-en@bizbet-biz.com,contact page,,,Gameway Global LLC,ALSI-202511025-FI2,2026-11-29,,yes,0,africa-bizbet.com bizbet.mobi bizbet.io mn-bizbet.io bizbet-au.com,DRAFT ONLY — NOT SENT,
B,africa-bizbet.com,BizBet Africa,support-en@africa-bizbet.com,contact page,,,Gameway Global LLC,ALSI-202511025-FI2,2026-11-29,,yes,0,bizbet.mobi bizbet-biz.com bizbet.io mn-bizbet.io bizbet-au.com,DRAFT ONLY — NOT SENT,
B,evetabi.com,EvetAbi,info@evetabi.com,affiliate page,https://evetabi.com/affiliate,,Mistletoe Ltd,ALSI-202508061-FI2,2026-08-28,,yes,1,levabet.com matixbet.com betpir.com kuzeycasino.com,DRAFT ONLY — NOT SENT,
B,letou.com,Letou,cs@letou.com,affiliate page,https://letou.com/affiliate,,RegalTech Solutions Limitada,ALSI-202602046-FI2,2027-02-27,,yes,13,howzitcasino.com lt.com mrcat.com vwin.com,DRAFT ONLY — NOT SENT,
B,lt.com,Lt,cs@letou.com,affiliate page,https://lt.com/partners,,RegalTech Solutions Limitada,ALSI-202602046-FI2,2027-02-27,,yes,1,howzitcasino.com letou.com mrcat.com vwin.com,DRAFT ONLY — NOT SENT,
B,afrislots.net,AfriSlots,legal@afrislots.net,contact page,,,Juicecraft Limited,ALSI-202511012-FI1,2026-11-14,,yes,0,gbetplay.net elvisluck.net ganamega.net,DRAFT ONLY — NOT SENT,
B,gbetplay.net,Gbet,abuse@gbetplay.net,contact page,,,Juicecraft Limited,ALSI-202511012-FI1,2026-11-14,,yes,4,afrislots.net elvisluck.net ganamega.net,DRAFT ONLY — NOT SENT,
B,ganamega.net,GanaMega,support@ganamega.net,contact page,,,Juicecraft Limited,ALSI-202511012-FI1,2026-11-14,,yes,0,gbetplay.net afrislots.net elvisluck.net,DRAFT ONLY — NOT SENT,
B,elvisluck.net,ElvisLuck,hello@elvisluck.net,contact page,,,Juicecraft Limited,ALSI-202511012-FI1,2026-11-14,,yes,7,gbetplay.net afrislots.net ganamega.net,DRAFT ONLY — NOT SENT,
B,vegazcasino.com,vegazcasino,info@affpartnergroup.com,affiliate page,https://affiliates.vegazcasino.com,,MOONSEEKER SRL,ALSI-202509006-FI1,2026-09-15,askgamblers,yes,31,winbitcasino.com mondcasino.com casinostars.io,DRAFT ONLY — NOT SENT,
B,volacasino.com,Vola,info@volacasino.com,affiliate page,https://volacasino.com/affiliate,,Nowplatform Ltd.,ALSI-202509021-Fll,2026-09-15,,yes,21,meritwin.com yasalbahis.com haydicasino.com,DRAFT ONLY — NOT SENT,
B,bhaicasino.com,BhaiCasino,support@bhaicasino.com,affiliate page,https://bhaicasino.com/affiliates,,Capitanos Games Ltd,ALSI-202509071-FI2,2026-09-29,,yes,0,betbeto.com cwinz.com bluebetz.com,DRAFT ONLY — NOT SENT,
B,bluebetz.com,Bluebetz,support@bluebetz.com,affiliate page,https://bluebetz.com/affiliates,,Capitanos Games Ltd,ALSI-202509071-FI2,2026-09-29,,yes,0,betbeto.com bhaicasino.com cwinz.com,DRAFT ONLY — NOT SENT,
B,cwinz.com,Cwinz,support@cwinz.com,affiliate page,https://cwinz.com/affiliates,,Capitanos Games Ltd,ALSI-202509071-FI2,2026-09-29,,yes,1,betbeto.com bhaicasino.com bluebetz.com,DRAFT ONLY — NOT SENT,
B,jokertipp.com,Joker Tipp,support@jokertipp.com,contact page,,,Mirella Ltd,ALSI-202509009-FI1,2026-09-15,,yes,18,altaris.casino sierra.casino,DRAFT ONLY — NOT SENT,
B,kirabet.com,Kira.Bet,info@kirabet.com,affiliate page,https://kirabet.com/affiliate,,Arkevia Group Ltd,ALSI-202510025-FI1,2026-10-15,,yes,24,molcasino.com tomi.club,DRAFT ONLY — NOT SENT,
B,molcasino.com,Mol,info@molcasino.com,affiliate page,https://molcasino.com/affiliate,,Arkevia Group Ltd,ALSI-202510025-FI1,2026-10-15,,yes,22,kirabet.com tomi.club,DRAFT ONLY — NOT SENT,
B,tomi.club,Tomi,info@tomi.club,affiliate page,https://tomi.club/affiliate,,Arkevia Group Ltd,ALSI-202510025-FI1,2026-10-15,,yes,21,kirabet.com molcasino.com,DRAFT ONLY — NOT SENT,
B,twixos.com,Twixos,privacy@twixos.com,contact page,,,Global Score Ltd,ALSI-202509002-FI1,2026-09-15,,yes,0,vexlbet.com,DRAFT ONLY — NOT SENT,
B,cooked.com,Cooked,support@cooked.com,affiliate page,https://cooked.com/affiliates,,Digital Chain Ventures SRL,ALSI-202509004-FI1,2026-09-15,,yes,26,cryptogaming.com,DRAFT ONLY — NOT SENT,
B,j8de.io,J8DE,support@j8de.io,affiliate page,https://j8de.io/affiliates,,3-102-937610 SRL,ALSI-202510054-FI2,2026-10-28,,yes,11,kush.casino,DRAFT ONLY — NOT SENT,
B,kush.casino,Kush,support@kush.casino,contact page,,,3-102-937610 SRL,ALSI-202510054-FI2,2026-10-28,,yes,2,j8de.io,DRAFT ONLY — NOT SENT,
B,blockdag.co,BlockDAG,commercials@blockdag.co,affiliate page,https://blockdag.co/affiliate-program,,3-102-946540 SRL,ALSI-202511024-FI2,2026-11-29,,yes,14,huhubet.com,DRAFT ONLY — NOT SENT,
B,luckyclash.io,Early Access,info@luckyclash.info,affiliate page,https://luckyclash.io/affiliates,,Prime Entertainment Ltd,ALSI-202603032-FI1,2027-03-15,,yes,0,pr1mebet.com,DRAFT ONLY — NOT SENT,
B,fenixbet.online,FenixBet,support@fenixbet.online,contact page,,,Spiritus Limited,ALSI-202603056-FI2,2027-03-30,,yes,6,oxy.casino,DRAFT ONLY — NOT SENT,
B,orowin.bet,Orowin,support@orowin.bet,contact page,,,Win Vision N.V.,ALSI-202605001-FI1,2027-05-07,,yes,25,sikkaro.bet,DRAFT ONLY — NOT SENT,
B,sikkaro.bet,Sikkarobet,support@sikkaro.bet,contact page,,,Win Vision N.V.,ALSI-202605001-FI1,2027-05-07,,yes,1,orowin.bet,DRAFT ONLY — NOT SENT,
B,funbet888.me,Funbet,reach.us@funbet.me,affiliate page,https://funbet888.me/affiliate-programme,,3-102-938581 Limitada,ALSI-202508066-FI2,2026-08-28,,yes,14,funbet.me,DRAFT ONLY — NOT SENT,
B,funbet.me,Funbet,reach.us@funbet.me,affiliate page,https://partners.funbet.me,,3-102-938581 Limitada,ALSI-202508066-FI2,2026-08-28,,yes,14,funbet888.me,DRAFT ONLY — NOT SENT,
B,grizzly.online,Grizzly,affiliate@grizzly.bingo,affiliate page,https://grizzly.online/affiliates,,GC Service Group Ltd,ALSI-202508052-FI2,2026-08-28,,yes,22,grizzly.win,DRAFT ONLY — NOT SENT,
B,grizzly.win,Grizzly,affiliate@grizzly.bingo,affiliate page,https://grizzly.win/affiliates,,GC Service Group Ltd,ALSI-202508052-FI2,2026-08-28,,yes,22,grizzly.online,DRAFT ONLY — NOT SENT,
B,369wins.com,369Wins,support@369wins.com,affiliate page,https://369wins.com/affiliates,,Anzal Ltd,ALSI-202510004-FI1,2026-10-15,,yes,0,betfal.com,DRAFT ONLY — NOT SENT,
B,gold24x7.com,Gold,admin@gold.casino,affiliate page,https://gold24x7.com/affiliates,,3-102-944744 SRL,ALSI-202510061-FI2,2026-10-28,,yes,14,gold.casino,DRAFT ONLY — NOT SENT,
B,playbet.io,Playbet,info@playbet.io,affiliate page,https://playbet.io/affiliates,,Aurevia Digital Ventures Ltd,ALSI-202510058-FI2,2026-10-28,trustpilot,yes,17,robobet.com,DRAFT ONLY — NOT SENT,
B,getwin.online,Getwin,support@getwin.online,affiliate page,https://getwin.online/affiliates,,3-102-945845 SRL,ALSI-202511035-FI2,2026-11-29,,yes,2,fortislots.com,DRAFT ONLY — NOT SENT,
B,fortislots.com,Fortislots,support@fortislots.com,affiliate page,https://fortislots.com/affiliates,,3-102-945845 SRL,ALSI-202511035-FI2,2026-11-29,,yes,29,getwin.online,DRAFT ONLY — NOT SENT,
B,pro11casino.com,Pro11casino,support@pro11casino.com,affiliate page,https://pro11casino.com/affiliate-programme,,3-102-947393 SRL,ALSI-202511030-FI2,2026-11-29,,yes,1,pro11play.com,DRAFT ONLY — NOT SENT,
B,aryanbet.com,Aryanbet,info@aryanbet.com,affiliate page,https://aryanbet.com/affiliates,,3-102-946386 SRL,ALSI-202512003-FI1,2026-12-14,,yes,14,xprobet.com,DRAFT ONLY — NOT SENT,
B,drazzewin.com,Drazze,partners@drazze.casino,affiliate page,https://drazzewin.com/affiliates,,Drazze Limited,ALSI-202512040-FI1,2026-12-21,,yes,24,drazze.casino,DRAFT ONLY — NOT SENT,
B,drazze.casino,Drazze,partners@drazze.casino,affiliate page,https://drazze.casino/affiliates,,Drazze Limited,ALSI-202512040-FI1,2026-12-21,,yes,24,drazzewin.com,DRAFT ONLY — NOT SENT,
B,roulobets.com,Roulo,support@roulo.gg,affiliate page,https://roulobets.com/affiliate,,Roulo Interactive Games LLC,ALSI-202602053-FI2,2027-02-15,,yes,6,roulo.gg,DRAFT ONLY — NOT SENT,
B,bet808.com,Bet808,support@bet808.com,affiliate page,https://bet808.com/affiliates,,Play Fortune Entertainment Ltd,ALSI-202603053-FI2,2027-03-30,,yes,0,bet303.com,DRAFT ONLY — NOT SENT,
B,gamblit.net,Gamblit,support@gamblit.net,affiliate page,https://gamblit.net/affiliates,,3-102-954785 LIMITADA,ALSI-202604028-FI2,2027-04-28,,yes,0,buff.gg,DRAFT ONLY — NOT SENT,
B,ezcash.casino,EZCASH,support@ezcash.casino,contact page,,,EZCS Solutions Ltd,ALSI-202509047-FI1,2026-09-02,,yes,5,,DRAFT ONLY — NOT SENT,
B,megapot.io,Megapot,support@megapot.io,contact page,,,Megapot Inc,ALSI-202510018-FI1,2026-10-15,,yes,0,,DRAFT ONLY — NOT SENT,
B,whalebet.gg,WhaleBet,partners@whalebet.gg,affiliate page,https://whalebet.gg/affiliates,,3-102-942955 SRL,ALSI-202511004-FI1,2026-11-03,,yes,8,,DRAFT ONLY — NOT SENT,
B,slot.win,Slot,support@slot.win,affiliate page,https://slot.win/affiliate,,3-102-942828 SRL,ALSI-202511006-FI1,2026-11-14,trustpilot,yes,0,,DRAFT ONLY — NOT SENT,
B,stakeboss.com,Stakeboss Home,support@stakeboss.com,contact page,,,3-102-947775 Limitada,ALSI-202511052-FI2,2026-11-29,,yes,3,,DRAFT ONLY — NOT SENT,
B,aldex.win,Aldex Win,support@aldex.com,contact page,,,Aldex Win Ltd,ALSI-202512034-FI1,2026-12-21,,yes,13,,DRAFT ONLY — NOT SENT,
B,luminous.casino,Luminous,support@luminous.casino,contact page,,,LuminousCompany Ltd.,ALSI-202601036-FI1,2027-01-04,,yes,17,,DRAFT ONLY — NOT SENT,
B,betida.com,BETIDA,partner@betida.com,affiliate page,https://betida.com/affiliate,,Betida Entertainment Ltd,ALSI-202512002-FI1,2026-12-14,,yes,5,,DRAFT ONLY — NOT SENT,
B,gamwiz.com,Gamwiz,support@gamwiz.com,affiliate page,https://gamwiz.com/affiliate,,Gamwiz Inc,ALSI-202602039-FI2,2027-02-27,,yes,7,,DRAFT ONLY — NOT SENT,
B,cat2bet.com,Cat2Bet,sac@cat2bet.com,contact page,,,Terravista Entertainment Ltd,ALSI-202603022-FI1,2027-03-08,,yes,12,,DRAFT ONLY — NOT SENT,
B,hyperoll.com,Hyperoll Crypto,contact@hyperoll.com,contact page,,,Quantum House Ltd,ALSI-202602027-FI2,2027-02-27,,yes,13,,DRAFT ONLY — NOT SENT,
B,sansli.io,Sansli,support@sansli.io,contact page,,,Dragonfruit Limited,ALSI-202603060-FI2,2027-03-30,,yes,9,,DRAFT ONLY — NOT SENT,
B,trenchbet.com,Trench Bet,support@trenchbet.com,affiliate page,https://trenchbet.com/affiliate,,Lock In Capital Ltd,ALSI-202604039-FI2,2027-04-28,,yes,3,,DRAFT ONLY — NOT SENT,
B,casinityx.com,casinityx,support@casinityx.com,affiliate page,https://casinityx.com/affiliate-programme,,3-102-942477 SRL,ALSI-202509036-FI1,2026-09-15,,yes,1,,DRAFT ONLY — NOT SENT,
B,wildroll.com,WildRoll,support@wildroll.com,affiliate page,https://wildroll.com/affiliates,,Jackpot Junction Limited,ALSI-202509011-FI1,2026-09-15,,yes,34,,DRAFT ONLY — NOT SENT,
B,dustbit.com,Dustbit,support@dustbit.com,affiliate page,https://dustbit.com/affiliate-program,Smartico,Oxilium Limited,ALSI-202509012-FI1,2026-09-15,,yes,10,,DRAFT ONLY — NOT SENT,
B,degen.com,Degen,support@degen.com,affiliate page,https://degen.com/affiliates,,Degen Legend Limitada,ALSI-202509061-FI2,2026-09-18,,yes,15,,DRAFT ONLY — NOT SENT,
B,arba777.com,Arba777,support@arba777.com,affiliate page,https://arba777.com/affiliates,,Rtech LTD,ALSI-202509056-FI2,2026-09-29,,yes,0,,DRAFT ONLY — NOT SENT,
B,casino007.com,Casino007,affiliate@casino007.com,affiliate page,https://casino007.com/partners,,3-102-942052 SRL,ALSI-202510008-FI1,2026-10-15,,yes,11,,DRAFT ONLY — NOT SENT,
B,betet77.com,Sports,support@betet77.com,affiliate page,https://betet77.com/affiliate,,GF CLUB Seven Seven Limitada,ALSI-202510016-FI1,2026-10-15,,yes,0,,DRAFT ONLY — NOT SENT,
B,zunabet.com,Zunabet.com,affiliates@zunabet.com,affiliate page,https://zunabet.com/affiliate,,Strathvale Group Ltd,ALSI-202510047-FI2,2026-10-28,,yes,21,,DRAFT ONLY — NOT SENT,
B,forzabet.live,Forza.Bet,support@forzabet.live,affiliate page,https://forzabet.live/affiliates,,BeLion International Holdings Ltd.,ALSI-202510053-FI2,2026-10-28,,yes,1,,DRAFT ONLY — NOT SENT,
B,bolt-casino.com,Bolt,contact@bolt-casino.com,affiliate page,https://bolt-casino.com/affiliate,,3-102-946302 SRL,ALSI-202512028-FI1,2026-12-21,,yes,6,,DRAFT ONLY — NOT SENT,
B,degencity.com,DegenCity,support@degencity.com,affiliate page,https://degencity.com/affiliates,,3-102-939867 Limitada,ALSI-202601025-FI1,2027-01-14,trustpilot,yes,13,,DRAFT ONLY — NOT SENT,
B,jeevybet.com,Jeevybet,support@jeevybet.com,affiliate page,https://jeevybet.com/affiliate-program,,3-102-947122 SRL,ALSI-202601034-FI1,2027-01-14,,yes,0,,DRAFT ONLY — NOT SENT,
B,betbanksy.com,Betbanksy,affiliate@betbanksy.com,affiliate page,https://betbanksy.com/affiliates,,SSA Technologies Ltd.,ALSI-202601017-FI1,2027-01-14,,yes,8,,DRAFT ONLY — NOT SENT,
B,winup.io,Winup,support@winup.io,affiliate page,https://winup.io/affiliate-program,,3-102-952740 SRL,ALSI-202601062-FI2,2027-01-30,,yes,6,,DRAFT ONLY — NOT SENT,
B,metawin.com,Metawin,affiliates@arena.com,affiliate page,https://affiliates.metawin.com,,Rivolo Limited,ALSI-202602025-FI1,2027-02-15,,yes,19,,DRAFT ONLY — NOT SENT,
B,castle.com,Castle,partners@castle.com,affiliate page,https://castle.com/affiliates,,Broken Tentacle Ltd,ALSI-202602048-FI2,2027-02-27,,yes,0,,DRAFT ONLY — NOT SENT,
B,gamealotroyale.com,Gamealotroyale,support@gamealotroyale.com,affiliate page,https://gamealotroyale.com/affiliate-programme,,3-102-954988 SRL,ALSI-202602051-FI2,2027-02-27,,yes,5,,DRAFT ONLY — NOT SENT,
B,batcasino.bet,Batcasino,support@batcasino.bet,affiliate page,https://batcasino.bet/affiliate-programme,,3-102-953033 SRL,ALSI-202602037-FI2,2027-02-27,,yes,9,,DRAFT ONLY — NOT SENT,
B,maksibet.com,Maksibet,info@maksibet.com,affiliate page,https://maksibet.com/affiliates,,3-102-939685 SRL,ALSI-202603030-FI1,2027-03-07,,yes,1,,DRAFT ONLY — NOT SENT,
B,lugarbet.com,LugarBet,support@lugarbet.com,affiliate page,https://lugarbet.com/affiliates,,3-102-951260 SRL,ALSI-202603001-FI1,2027-03-13,,yes,10,,DRAFT ONLY — NOT SENT,
B,bettogames.com,Bettogames,support@bettogames.com,affiliate page,https://partners.bettogames.com,,3-102-954365 SRL,ALSI-202603002-FI1,2027-03-13,,yes,9,,DRAFT ONLY — NOT SENT,
B,cosmoracasinos.com,Cosmoracasinos,support@cosmoracasinos.com,affiliate page,https://cosmoracasinos.com/affiliates,,3-102-958311 SRL,ALSI-202604029-FI2,2027-04-28,,yes,4,,DRAFT ONLY — NOT SENT,
B,otobet.com,Otobet,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
B,betpublic.com,SoloBet AMP,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com starzbet.com baywin.com bycasino.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
B,bycasino.com,Bycasino,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com luxslot.com betira.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
B,betira.com,Betira lic,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com northwin.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
B,northwin.com,Northwin lic,,,,,Obsidian Titan Limited,ALSI-202602052-FI2,2027-02-27,,yes,0,zlot.com otobet.com slotin.com betewin.com betpublic.com starzbet.com baywin.com bycasino.com luxslot.com betira.com jasino.com ligobet.com,DRAFT ONLY — NOT SENT,
