domain,brand_stem,mirrors,operator,licence,jurisdiction,licence_status,expires,already_in_pool,all_domains,status,contacted_on,live,http,title,reason,brand_name
buustikasino.com,buustikasino,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,buustikasino.com,not contacted,,yes,200,,,
casinokhajana.com,casinokhajana,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,casinokhajana.com,not contacted,,yes,200,,,
clubcd.com,clubcd,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,clubcd.com,not contacted,,yes,200,,,
jeetboost.com,jeetboost,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,jeetboost.com,not contacted,,yes,200,,,
luckyspins-in.com,luckyspinsin,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,luckyspins-in.com,not contacted,,yes,200,,,
mastispins.com,mastispins,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,mastispins.com,not contacted,,yes,200,,,
panosta.com,panosta,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,panosta.com,not contacted,,yes,200,,,
panostabet-no.com,panostabetno,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,panostabet-no.com,not contacted,,yes,200,,,
panostabet.com,panostabet,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,panostabet.com,not contacted,,yes,200,,,
paratiisi.com,paratiisi,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,paratiisi.com,not contacted,,yes,200,,,
playorbet.com,playorbet,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,playorbet.com,not contacted,,yes,200,,,
raketti.com,raketti,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,raketti.com,not contacted,,yes,200,,,
regalrush-no.com,regalrushno,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,regalrush-no.com,not contacted,,yes,200,,,
regalrush.com,regalrush,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,regalrush.com,not contacted,,yes,200,,,
rocketriches-india.in,rocketrichesindia,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,rocketriches-india.in,not contacted,,yes,200,,,
rocketriches.com,rocketriches,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,rocketriches.com,not contacted,,yes,200,,,
rr-in.in,rrin,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,rr-in.in,not contacted,,yes,200,,,
ruhtinas.com,ruhtinas,0,White Star B.V.,OGL/2023/159/0076,Curacao,assessment in progress,"December 24, 2025",no,ruhtinas.com,not contacted,,yes,200,,,
bettyspin.com,bettyspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,bettyspin.com,not contacted,,yes,200,ᐈ Bettyspin - Play Slots Online For Free or Real Money,,ᐈ Bettyspin
billionairespin.com,billionairespin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,billionairespin.com,not contacted,,yes,200,ᐈ Billionairespin - Play Slots Online For Free or Real Money,,ᐈ Billionairespin
candyspinz.com,candyspinz,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,candyspinz.com,not contacted,,yes,200,ᐈ Candyspinz - Play Slots Online For Free or Real Money,,ᐈ Candyspinz
capospin.com,capospin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,capospin.com,not contacted,,yes,200,ᐈ Capospin - Play Slots Online For Free or Real Money,,ᐈ Capospin
casinaga.com,casinaga,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,casinaga.com,not contacted,,yes,200,,URLError,
didispin.com,didispin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,didispin.com,not contacted,,yes,200,,URLError,
dreamspinz.com,dreamspinz,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,dreamspinz.com,not contacted,,yes,200,,URLError,
felixspin.com,felixspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,felixspin.com,not contacted,,yes,200,ᐈ Felixspin - Play Slots Online For Free or Real Money,,ᐈ Felixspin
highflybet.com,highflybet,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,highflybet.com,not contacted,,yes,200,ᐈ Highflybet - Play Slots Online For Free or Real Money,,ᐈ Highflybet
honeybetz.com,honeybetz,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,honeybetz.com,not contacted,,yes,200,ᐈ Honeybetz - Play Slots Online For Free or Real Money,,ᐈ Honeybetz
jackpire.com,jackpire,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,jackpire.com,not contacted,,yes,200,,URLError,
jackpoleon.com,jackpoleon,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,jackpoleon.com,not contacted,,yes,200,,URLError,
liraspin.com,liraspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,liraspin.com,not contacted,,yes,200,ᐈ Liraspin - Play Slots Online For Free or Real Money,,ᐈ Liraspin
luckapone.com,luckapone,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,luckapone.com,not contacted,,yes,200,,URLError,
oscarspin.com,oscarspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,oscarspin.com,not contacted,,yes,200,ᐈ Oscarspin - Play Slots Online For Free or Real Money,,ᐈ Oscarspin
playjonny.com,playjonny,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,playjonny.com,not contacted,,yes,200,ᐈ Playjonny - Play Slots Online For Free or Real Money,,ᐈ Playjonny
rockyspin.com,rockyspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,rockyspin.com,not contacted,,yes,200,ᐈ Rockyspin - Play Slots Online For Free or Real Money,,ᐈ Rockyspin
rolldorado.com,rolldorado,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,rolldorado.com,not contacted,,yes,200,ᐈ Rolldorado - Play Slots Online For Free or Real Money,,ᐈ Rolldorado
roulettino.com,roulettino,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,roulettino.com,not contacted,,yes,200,ᐈ Roulettino - Play Slots Online For Free or Real Money,,ᐈ Roulettino
savaspin.com,savaspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,savaspin.com,not contacted,,yes,200,ᐈ Savaspin - Play Slots Online For Free or Real Money,,ᐈ Savaspin
sloticorn.com,sloticorn,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,sloticorn.com,not contacted,,yes,200,,URLError,
spingali.com,spingali,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,spingali.com,not contacted,,yes,200,,URLError,
spinigma.com,spinigma,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,spinigma.com,not contacted,,yes,200,,URLError,
spinmacho.com,spinmacho,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,spinmacho.com,not contacted,,yes,200,ᐈ Spinmacho - Play Slots Online For Free or Real Money,,ᐈ Spinmacho
spinogambino.com,spinogambino,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,spinogambino.com,not contacted,,yes,200,ᐈ Spinogambino - Play Slots Online For Free or Real Money,,ᐈ Spinogambino
sweetyspin.com,sweetyspin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,sweetyspin.com,not contacted,,yes,200,ᐈ Sweetyspin - Play Slots Online For Free or Real Money,,ᐈ Sweetyspin
tinatinbet.com,tinatinbet,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,tinatinbet.com,not contacted,,yes,200,,URLError,
turbowinz.com,turbowinz,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,turbowinz.com,not contacted,,yes,200,ᐈ Turbowinz - Play Slots Online For Free or Real Money,,ᐈ Turbowinz
vincispin.com,vincispin,0,Terdersoft B.V.,OGL/2024/1126/0521,Curacao,active,"March 26, 2026",no,vincispin.com,not contacted,,yes,200,ᐈ Vincispin - Play Slots Online For Free or Real Money,,ᐈ Vincispin
bahisdeyiz.com,bahisdeyiz,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,bahisdeyiz.com,not contacted,,yes,200,Betting website,,Betting website
betofgame.com,betofgame,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,betofgame.com,not contacted,,yes,200,Betofgame,,Betofgame
cyprusslots3.com,cyprusslots,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,cyprusslots3.com,not contacted,,yes,200,Login,,Login
jungle7.com,jungle,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,jungle7.com,not contacted,,yes,200,jungle7,,jungle7
luckychico.com,luckychico,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,luckychico.com,not contacted,,yes,200,Casino Games - Play & Win,,Casino Games
lukycricket.com,lukycricket,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,lukycricket.com,not contacted,,yes,200,Casino | LukyCricket | Best Online Cricket Betting in India,,Casino
metaigaming.io,metaigaming,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,metaigaming.io,not contacted,,yes,200,Meta System - Plataforma de cassino e apostas esportivas,,Meta System
ogbets.com,ogbets,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,ogbets.com,not contacted,,yes,200,The premium domain name ogbets.com is for sale. Buy it now!,,
suratbet.com,suratbet,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,suratbet.com,not contacted,,yes,200,"SüratBet Hızlı Oyun, Hızlı Kazanç - Suratbet.com",,"SüratBet Hızlı Oyun, Hızlı Kazanç"
vegasoro.com,vegasoro,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,vegasoro.com,not contacted,,yes,200,Casino Games - Play & Win,,Casino Games
wingobingo.tv,wingobingo,0,Middle Kang B.V.,OGL/2024/2267/1181,Curacao,assessment in progress,"December 24, 2025",no,wingobingo.tv,not contacted,,yes,200,"WingoBingo — Live Wingo & Bingo Games, Win Big! | WingoBingo",,WingoBingo
latribet.ec,latribet,1,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,latribet.ec latribet.com,not contacted,,yes,200,"Apuestas Deportivas, Pronósticos y Casino Online en Ecuador",,
rojabet.cl,rojabet,1,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,rojabet.cl rojabet.com,not contacted,,yes,200,Rojabet Chile: Apuestas Deportivas y Casino Online,,Rojabet Chile
1bet4win.com,betwin,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,1bet4win.com,not contacted,,yes,200,,,
apuestashouse.com,apuestashouse,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,apuestashouse.com,not contacted,,yes,200,"Deportes, Apuestas en Vivo, Casino y Juegos | Apuestashouse",,
apuesto.com,apuesto,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,apuesto.com,not contacted,,yes,200,,,
betmartini.com,betmartini,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,betmartini.com,not contacted,,yes,200,Scommesse online e scommesse da casinò | Betmartini,,Scommesse online e scommesse da casinò
btc2bet.com,btcbet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,btc2bet.com,not contacted,,yes,200,Online Sports and Casino Betting | BTC2BET,,Online Sports and Casino Betting
deporgram.com,deporgram,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,deporgram.com,not contacted,,yes,200,Online Sports and Casino Betting |,,Online Sports and Casino Betting
derbibet.com,derbibet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,derbibet.com,not contacted,,yes,200,Forvetbet | Türkiye'nin Bahis Sitesi,,Forvetbet
forvetbet.com,forvetbet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,forvetbet.com,not contacted,,yes,200,Forvetbet | Türkiye'nin Bahis Sitesi,,Forvetbet
isbet.com,isbet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,isbet.com,not contacted,,yes,200,,,
kikobet.com,kikobet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,kikobet.com,not contacted,,yes,200,Online Sports and Casino Betting | Kikobet,,Online Sports and Casino Betting
megawin.cl,megawin,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,megawin.cl,not contacted,,yes,200,MegaWin Casino - Juegos de Casino Online en Chile,,MegaWin Casino
mundoapostas.com,mundoapostas,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,mundoapostas.com,not contacted,,yes,200,Mundoapostas,,Mundoapostas
optimbet.com,optimbet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,optimbet.com,not contacted,,yes,200,Optimbet,,Optimbet
tornadobahis.com,tornadobahis,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,tornadobahis.com,not contacted,,yes,200,Forvetbet | Türkiye'nin Bahis Sitesi,,Forvetbet
tornadobet.com,tornadobet,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,tornadobet.com,not contacted,,yes,200,Tornadobet,,Tornadobet
wsbets.com,wsbets,0,Media Entertainment N.V.,OGL/2024/1110/0512,Curacao,active,"August 1, 2026",no,wsbets.com,not contacted,,yes,200,"Spor Bahisleri, Slotlar ve Canlı Casino | Forvetbet",,"Spor Bahisleri, Slotlar ve Canlı Casino"
luxewin.bet,luxewin,1,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,luxewin.bet luxewin22.bet,not contacted,,yes,200,Luxewin,,Luxewin
21bets.com,bets,0,Famagousta B.V.,OGL/2023/155/0098,Curacao,active,"June 4, 2026",no,21bets.com,not contacted,,yes,200,21Bets,,21Bets
afkspin.com,afkspin,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,afkspin.com,not contacted,,yes,200,ᐈ AFKspin - Play Slots Online For Free or Real Money,,ᐈ AFKspin
baxterbet.com,baxterbet,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,baxterbet.com,not contacted,,yes,200,ᐈ Baxterbet - Play Slots Online For Free or Real Money,,ᐈ Baxterbet
boomsino.com,boomsino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,boomsino.com,not contacted,,yes,200,,URLError,
boomzino.com,boomzino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,boomzino.com,not contacted,,yes,200,ᐈ Boomzino - Play Slots Online For Free or Real Money,,ᐈ Boomzino
casinobossy.com,casinobossy,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,casinobossy.com,not contacted,,yes,200,ᐈ Casinobossy - Play Slots Online For Free or Real Money,,ᐈ Casinobossy
fortuzino.com,fortuzino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,fortuzino.com,not contacted,,yes,200,ᐈ Fortuzino - Play Slots Online For Free or Real Money,,ᐈ Fortuzino
glitzbets.com,glitzbets,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,glitzbets.com,not contacted,,yes,200,ᐈ Glitzbets - Play Slots Online For Free or Real Money,,ᐈ Glitzbets
ivybet.io,ivybet,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,ivybet.io,not contacted,,yes,200,ᐈ Casino Online and Mobile,,ᐈ Casino Online and Mobile
luckycapone.com,luckycapone,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,luckycapone.com,not contacted,,yes,200,ᐈ Luckycapone - Play Slots Online For Free or Real Money,,ᐈ Luckycapone
luckysheriff.com,luckysheriff,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,luckysheriff.com,not contacted,,yes,200,ᐈ Luckysheriff - Play Slots Online For Free or Real Money,,ᐈ Luckysheriff
magneticslots.com,magneticslots,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,magneticslots.com,not contacted,,yes,200,ᐈ Magneticslots - Play Slots Online For Free or Real Money,,ᐈ Magneticslots
manekispin.com,manekispin,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,manekispin.com,not contacted,,yes,200,ᐈ Manekispin - Play Slots Online For Free or Real Money,,ᐈ Manekispin
needforslots.com,needforslots,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,needforslots.com,not contacted,,yes,200,ᐈ Needforslots - Play Slots Online For Free or Real Money,,ᐈ Needforslots
ringospin.com,ringospin,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,ringospin.com,not contacted,,yes,200,ᐈ Ringospin - Play Slots Online For Free or Real Money,,ᐈ Ringospin
rodeoslot.com,rodeoslot,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,rodeoslot.com,not contacted,,yes,200,ᐈ Rodeoslot - Play Slots Online For Free or Real Money,,ᐈ Rodeoslot
royalstiger.com,royalstiger,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,royalstiger.com,not contacted,,yes,200,ᐈ Royalstiger - Play Slots Online For Free or Real Money,,ᐈ Royalstiger
slotrize.com,slotrize,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,slotrize.com,not contacted,,yes,200,ᐈ Slotrize - Play Slots Online For Free or Real Money,,ᐈ Slotrize
slotsdj.com,slotsdj,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,slotsdj.com,not contacted,,yes,200,ᐈ Slotsdj - Play Slots Online For Free or Real Money,,ᐈ Slotsdj
spinania.com,spinania,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,spinania.com,not contacted,,yes,200,ᐈ Spinania - Play Slots Online For Free or Real Money,,ᐈ Spinania
spinsahara.com,spinsahara,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,spinsahara.com,not contacted,,yes,200,ᐈ Spinsahara - Play Slots Online For Free or Real Money,,ᐈ Spinsahara
tesorcasino.com,tesorcasino,0,Neroblanko Tech N.V.,OGL/2024/790/0272,Curacao,assessment in progress,"December 24, 2025",no,tesorcasino.com,not contacted,,yes,200,ᐈ Tesorcasino - Play Slots Online For Free or Real Money,,ᐈ Tesorcasino
