slug,cryptolists_name,brand,is_new,vpn_friendly,no_kyc,cryptolists_rating,domain,confidence,live,already_in_pool,title,reason
sportuna,Sportuna,Sportuna,no,no,no,8.40,sptn01cm.lpmediastorage.com,low,yes,no,,
herculescasino,Hercules Casino,Hercules Casino,yes,no,no,9.50,herculescasino.com,high,yes,yes,,
masterplay,Master Play,Master Play,yes,no,no,9.30,mrrlist.com,low,yes,no,New Online Casino,
onlinecasinogames,Online Casino Games,Online Casino Games,no,no,no,7.00,play.onlinecasinogames.com,low,yes,no,,
winmega,Win Mega Casino,Win Mega Casino,yes,no,no,9.10,win1mega.com,low,yes,no,WinMega,
betovix,Betovix -,Betovix -,yes,no,no,9.00,betovix.com,high,yes,no,,
prismcasino,Prism Casino,Prism Casino,yes,no,no,8.50,prismcampaignpro.com,low,yes,no,25 Free Spins,
tiktokcasino,Tik Tok Casino,Tik Tok Casino,yes,no,no,9.25,ttcpromos.com,low,yes,no,,
avocasino,Avo Casino,Avo Casino,no,no,no,9.40,avocasino37.com,high,yes,no,Avocasino,
ampm,AMPM Casino,AMPM Casino,no,no,no,9.10,ampm7.casino,high,yes,no,"The best online casino, a large selection of slots, mobile casino",
betwhaleag,Bet Whale Casino Uncapped,Bet Whale Casino Uncapped,no,no,no,9.00,l.betwhale.ag,low,yes,no,Betwhale | 250% Casino Bonus,
rockstar-win,Rockstar Win Casino,Rockstar Win Casino,yes,no,no,9.00,rockstarwin.com,low,yes,yes,,
limewin,Lime Win Casino,Lime Win Casino,no,no,no,9.25,limewin.online,high,yes,no,Online Casino Games & Slots - Experience Premium Gaming | LimeWin,
betwinner,Bet Winner,Bet Winner,no,no,no,9.20,bwredir.com,low,yes,no,Loading...,
dreamscasino,Dreams Casino,Dreams Casino,no,no,no,8.60,dreamscampaigns.com,low,yes,no,Dreams - 25 FREE CHIP,
jackpot-raider,Jackpot Raider,Jackpot Raider,yes,no,no,9.10,travico9.com,low,yes,no,loading...,
bitkingz,Bit Kingz,Bit Kingz,no,no,no,8.83,bitkingzredirect.com,low,yes,no,,
royalen,Royalen,Royalen,yes,no,no,6.70,royalen.io,high,yes,no,,
cactuscasino,Cactus Casino,Cactus Casino,yes,no,no,9.20,laclasificacionlydia.xyz,low,yes,no,Cactus Casino,
31bets,31 Bets Casino,31 Bets Casino,no,no,no,9.20,betride.com,low,yes,no,,
7bet-casino,7 Bet,7 Bet,yes,no,no,9.00,7.bet,low,yes,no,,
billy-billion-casino,Billy Billion Casino,Billy Billion Casino,yes,no,no,5.00,billy.bfplay.link,high,yes,no,Billy Billion Online Casino | Billy Billion,
theclubhousecasino,The Clubhouse Casino,The Clubhouse Casino,yes,no,no,9.20,theclubhousecasino4.com,low,yes,no,Best Online Casino Australia | $5000 Welcome Bonus | The Clubhouse Casino,
willbet,Willbet Casino,Willbet Casino,yes,no,yes,9.40,web.willbet.io,low,yes,no,"WillBet: Sports, Casino & Crypto Games - Global Online Entertainment",
yourwin24,Your Win 24,Your Win 24,yes,yes,no,9.30,yourwin24.info,low,yes,no,"YourWin24 — Official Site | Online Slots, Live Casino & Sportsbook",
cosmobet,Cosmo Bet Casino,Cosmo Bet Casino,no,no,yes,9.30,atlasrouteops.com,low,yes,no,Home | AtlasRoute Operations,
rake-com,Rake Casino,Rake Casino,no,no,no,9.20,rake.com,high,yes,no,Rake.com - Best Online Casino & Sportsbook 2025 | Instant Crypto Withdrawals | Casino Game,
richprize,Rich Prize Casino,Rich Prize Casino,no,no,no,3.00,rp494.casino,low,yes,no,Rich Prize Casino,
romancasino,Roman Casino,Roman Casino,yes,no,no,9.30,cryply5.com,low,yes,no,loading...,
imperialwins,Imperial Wins,Imperial Wins,yes,no,no,9.30,imperialwins.com,low,yes,no,Imperial Wins,
spinbet,Spin Bet Casino,Spin Bet Casino,yes,no,no,9.20,spinbetcasino.com,high,yes,no,SpinBet Casino | SpinBet Login & Official Online Slots,
kinghillsgb,Kinghills Casino,Kinghills Casino,yes,no,no,9.00,kinara4.com,low,yes,no,loading...,
brokerstorm,Broker Storm - Sports,Broker Storm - Sports,no,no,no,8.60,app.brokerstorm.com,low,yes,no,Brokerstorm,
glorbet,Glorbet Casino,Glorbet Casino,yes,no,no,6.10,glorbet.com,low,yes,no,Glorbet - No KYC Crypto Casino,
shinywilds,Shiny Wilds Casino,Shiny Wilds Casino,yes,no,no,5.60,shinywilds.com,high,yes,no,,
spinarium,Spinarium Casino,Spinarium Casino,yes,no,no,5.40,spinarium4.com,high,yes,no,Online Casino | Play Casino for Real Money at Spinarium,
sapphirebet,Sapphire Bet Casino,Sapphire Bet Casino,no,no,no,5.10,sapphirebet.com:443,low,yes,no,,
20bet-crypto-english,20 Bet Casino,20 Bet Casino,no,no,no,5.10,20winlp.com,low,yes,no,PLAY CASINO GAMES WITH CRYPTOCURRENCIES | 20BET,
slotrush,Slot Rush Casino,Slot Rush Casino,yes,no,no,4.10,slot.playlink.me,high,yes,no,Casino - Play Online Casino Games | Slotrush 1,
casinobello,Casino Bello,Casino Bello,no,no,no,9.00,casinobello.info,low,yes,no,Bello,
art-casino-homepage,Art Casino,Art Casino,yes,yes,no,3.20,artcasino3.io,high,yes,no,ArtCasino.io - The Art of Winning!,
satospins,Sato Spins Casino -,Sato Spins Casino -,yes,no,no,6.00,casino.satospins.com,low,yes,no,,
rollspace,,Rollspace,yes,no,no,3.00,rollspace.com,low,yes,no,,
fatfruit-casino,Fat Fruit Casino,Fat Fruit Casino,yes,no,no,9.30,fatfruit.io,high,yes,no,,
retrobet,Retro Bet -,Retro Bet -,no,no,no,5.00,retrobet.co,low,yes,no,,
freespinza,Free Spinza Casino,Free Spinza Casino,yes,no,no,9.20,bigwinpromos.com,low,yes,no,FreeSpinza Offers,
pubs,Pubs Casino,Pubs Casino,yes,no,no,9.40,pubs.com,low,yes,no,"PUBS.com | Crypto Casino, Slots & Online Sportsbook",
beturo,Beturo Casino,Beturo Casino,yes,no,no,9.10,beturo.com,low,yes,yes,Beturo - welcome offer usd,
blazespins,Blaze Spins Casino,Blaze Spins Casino,yes,no,no,8.40,blazespins.com,high,yes,no,Blaze Spins,
happyluke,Happy Luke Casino -,Happy Luke Casino -,yes,no,no,9.00,happylukepromo.com,low,yes,no,"Happyluke – Casino Trực Tuyến | Slot, Live Casino & Khuyến Mãi Lớn",
spingrande,Spin Grande Casino -,Spin Grande Casino -,no,no,no,6.90,spin3grande.com,high,yes,no,SpinGrande | Your Online Casino for Big Wins,
spinfever,Spin Fever Casino,Spin Fever Casino,yes,no,no,9.50,spinfever.live,low,yes,no,,
shambalacasino,Shambala Casino,Shambala Casino,yes,no,no,9.25,shambalacasino.media,low,yes,no,shambalacasino.media,
slots-gallery-btc-bonus,,Slots Gallery Btc Bonus,yes,no,no,0.12,sgcasinopromo.com,low,yes,no,Slots Gallery Casino,
letslucky,Lets Lucky Casino,Lets Lucky Casino,yes,no,no,9.25,letslucky.casino,high,yes,no,,
luckyones,Lucky Ones Casino -,Lucky Ones Casino -,yes,no,no,9.30,luckyones.online,high,yes,no,,
asinocom,Asino Casino,Asino Casino,yes,no,no,9.20,asinoplay.com,low,yes,no,,
betsofa,BetSofa Crypto Bonus,BetSofa Crypto Bonus,no,no,no,9.30,preloadup.com,low,yes,no,Redirecting...,
luckyreels,Lucky Reels,Lucky Reels,yes,no,no,9.25,kpochatc.com,low,yes,no,Best Fast Withdrawal Online Casino Australia 2026,
dicebet,Dice Bet,Dice Bet,yes,no,no,9.20,dicebet.com,low,yes,yes,Dicebet,
metaspins-new,Metaspins Welcome offer is,Metaspins Welcome offer is,no,yes,no,9.25,metaspinscasino.live,low,yes,no,,
woo-casino,Woo Casino,Woo Casino,no,no,no,9.25,wooreg.com,low,yes,no,Online Casino | Best Casino Site to Play for Real Money | WooCasino,
gospin,GoSpin Casino,GoSpin Casino,yes,no,no,9.10,spinupload.online,low,yes,no,,
21bit,21 Bit Casino,21 Bit Casino,yes,no,no,0.00,21bit.com,low,yes,yes,21Bit,
goldenstar-casino,Golden Star Casino,Golden Star Casino,no,no,no,9.25,gs.aff2go.link,low,yes,no,Casino Online | Welcome Bonus | Top casino | GoldenStar Casino,
betti,Betti Casino,Betti Casino,no,no,no,8.75,betti1.com,low,yes,no,"Sportsbook & Casino Online | Betting, Live Casino, 3000+ Slots",
50crowns,50 Crowns Casino,50 Crowns Casino,yes,no,no,9.25,50crowns.com,high,yes,no,,
booi-reg,Booi Casino,Booi Casino,no,no,no,9.25,booi.com,low,yes,yes,Access to the website is restricted in your country,
vegazcasino,Vegaz Casino,Vegaz Casino,no,no,no,9.00,promo.vegazcasino.com,low,yes,no,Vegaz Casino Promo - 300% + 25FS,
casinorocket,Casino Rocket,Casino Rocket,no,no,no,9.30,casinorocket.com,low,yes,no,Rocket,
solcasino-homepage,,Solcasino Homepage,no,no,no,8.80,solcasino.life,low,yes,no,Welcome,
0xbet,,0Xbet,no,no,no,8.75,xbet.playtraff.com,high,yes,no,Safest Online Casino 0x.bet 🎖️ Fast Withdrawal & Safe Online Casino,
bigwins,Big Wins Casino,Big Wins Casino,yes,no,no,9.08,pelikaani.com,low,yes,no,Pelikaani | Lennokas kasino ilman rekisteröitymistä,
gangstacasino,Gangsta Casino,Gangsta Casino,yes,yes,no,9.30,gangstacasino777.com,low,yes,no,Redirecting,
rickycasino,Ricky Casino,Ricky Casino,no,no,no,9.25,therickycasino.com,high,yes,no,,
jozz-casino,Jozz Casino,Jozz Casino,no,no,no,9.00,jozz.com,low,yes,yes,,
luckydreams,Lucky Dreams Casino,Lucky Dreams Casino,no,no,no,9.25,luckydreams.io,high,yes,no,,
betibet,Beti Bet,Beti Bet,no,no,no,9.41,beti.playtraff.com,high,yes,no,Best Online Casino Site ⭐ Daily Cashback up to 20% | BetiBet,
casino4u,Casino 4U,Casino 4U,no,no,no,0.00,casino4u.tech,high,yes,no,,
dundeeslots,Dundee Slots,Dundee Slots,yes,no,no,9.00,dundeeslotz.com,low,yes,no,,
bohocasino,Boho Casino,Boho Casino,yes,no,no,9.41,gobohocasino.com,high,yes,no,-> Bohocasino,
zotabet,Zota Bet,Zota Bet,yes,no,no,9.40,zota.playtraff.com,high,yes,no,ZotaBet Online Casino ✔️ Best Casino Site 2026 | ZotaBet,
cryptowins,Crypto Wins Casino,Crypto Wins Casino,yes,no,no,9.20,cryptowins.com,high,yes,no,CryptoWins: Hundreds of Premium Online Slots,
revolution-casino,Revolution Casino,Revolution Casino,yes,no,no,9.10,m.revolutionaffiliates.com,low,yes,no,,
playfortuna,Play Fortuna,Play Fortuna,no,no,no,9.00,playfortuna.com,low,yes,yes,,
zeslots,Zeslots Casino,Zeslots Casino,yes,no,no,5.10,zeslots.info,low,yes,no,"Zeslots Online Casino — Slots, Live Dealers & Fun Play Demos | zeslots.info",
vave,Vave Casino,Vave Casino,yes,no,no,9.17,vavelp.com,low,yes,no,Vave Online Casino | Online Slots & BTC Games,
royspins,,Royspins,yes,no,no,8.90,1royspins1.com,high,yes,no,Royspins Online Casino,
vegasaces,Vegas Aces,Vegas Aces,no,no,no,9.10,vegasaces.com,low,yes,no,VegasAces,
winaday-25-usd-free,,Winaday 25 Usd Free,no,no,no,8.41,winadaycasino.eu,low,yes,no,Claim $25 FREE at Winaday Casino Now!,
slotsparadise,Slots Paradise,Slots Paradise,no,no,no,9.00,slotsparadise.com,low,yes,no,SlotsParadise,
vegasplus,WinVegasPlus Casino,WinVegasPlus Casino,yes,no,no,8.60,a4.winvegasplus-line.com,high,yes,no,Win Vegas Plus,
luckytreasure,Lucky Treasure,Lucky Treasure,yes,no,no,8.90,luckytreasurecampaign.com,low,yes,no,Lucky Treasure,
iwild-casino-homepage,iWild Casino,iWild Casino,no,no,no,8.75,iwildcasino3.io,low,yes,no,,
cobbercasino	,Cobber Casino,Cobber Casino,yes,no,no,8.67,cobber-casino.tech,high,yes,no,,
joo-casino-crypto-lp,Joo Casino,Joo Casino,no,no,no,9.10,joocasino.live,low,yes,no,,
dolfwincasinoca,Dolf Win Casino,Dolf Win Casino,yes,no,no,9.30,offers.dolfwin.com,low,yes,no,WELCOME CASINO BONUS,
woopwin,Woop Win,Woop Win,yes,no,no,9.00,aff-ads.woopaffiliates.com,low,yes,no,Gofiliate Administration Platform,
casoo,Casoo Casino,Casoo Casino,no,no,no,9.20,casoo46.com,high,yes,no,Casoo | Online Casino. A Galaxy of Fun Awaits,
fastpaycasino,Fast Pay Casino,Fast Pay Casino,no,no,no,9.25,fastpay-acess.com,low,yes,no,,
1bet-ie,1Bet Casino,1Bet Casino,no,no,no,9.25,wl1bet.adsrv.eacdn.com,low,yes,no,,
mediaqueenspins,Queen Spins Casino,Queen Spins Casino,no,no,no,9.10,thequeenspins.com,low,yes,no,,
slots-empire-crypto-bonus,Slots Empire,Slots Empire,no,no,no,7.90,slotsempirebonuses.com,low,yes,no,,
slotland,Slotland,Slotland,no,no,no,8.80,slotland.eu,low,yes,no,Claim $25 FREE at Slotland Now!,
bons,Bons Casino,Bons Casino,no,no,no,8.25,get2me.pro,low,yes,no,get2me.pro,
dripcasino-reg,Drip Casino,Drip Casino,yes,no,no,9.30,dripcasino.life,low,yes,no,Welcome,
slotastic-homepage,Slotastic,Slotastic,no,no,no,7.90,slotastic.ag,high,yes,no,Slotastic - Home of SLOTASTIC CASINO,
axe-casino-homepage,Axe Casino,Axe Casino,no,no,no,9.33,playaxecasino.com,low,yes,no,,
grandevegas,Grande Vegas Casino,Grande Vegas Casino,no,no,no,8.75,grandevegascasino.com,high,yes,no,Home,
bigboost-ca,Big Boost Casino,Big Boost Casino,yes,no,no,9.25,bigboost.com,low,yes,yes,,
zodiac-casino-homepage,Zodiac Bet Casino,Zodiac Bet Casino,no,no,no,8.20,zodiac1bet.com,low,yes,no,ZodiacBet,
mond-casino-homepage,Mond Casino,Mond Casino,no,yes,no,9.25,mond1casino.com,high,yes,no,Mond Casino: Online Casino & Sports Betting,
bluechip,Bluechip Casino,Bluechip Casino,no,no,no,9.42,bluechip.io,low,yes,no,Create Account | BlueChip,
winbig21,Win Big 21 Casino,Win Big 21 Casino,no,no,no,7.90,get.winbig21.com,low,yes,no,winbig21.com,
