source,tier,domain,brand,email,email_source,operator,licence,licence_status,expiry,confidence,flag,status,contacted_on
anjouan,B,ezcash.casino,EZCASH,support@ezcash.casino,contact page,EZCS Solutions Ltd,ALSI-202509047-FI1,,2026-09-02,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,megapot.io,Megapot,support@megapot.io,contact page,Megapot Inc,ALSI-202510018-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,whalebet.gg,WhaleBet,partners@whalebet.gg,affiliate page,3-102-942955 SRL,ALSI-202511004-FI1,,2026-11-03,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,slot.win,Slot,support@slot.win,affiliate page,3-102-942828 SRL,ALSI-202511006-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,stakeboss.com,Stakeboss Home,support@stakeboss.com,contact page,3-102-947775 Limitada,ALSI-202511052-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,aldex.win,Aldex Win,support@aldex.com,contact page,Aldex Win Ltd,ALSI-202512034-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,luminous.casino,Luminous,support@luminous.casino,contact page,LuminousCompany Ltd.,ALSI-202601036-FI1,,2027-01-04,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,betida.com,BETIDA,partner@betida.com,affiliate page,Betida Entertainment Ltd,ALSI-202512002-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,gamwiz.com,Gamwiz,support@gamwiz.com,affiliate page,Gamwiz Inc,ALSI-202602039-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,cat2bet.com,Cat2Bet,sac@cat2bet.com,contact page,Terravista Entertainment Ltd,ALSI-202603022-FI1,,2027-03-08,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,hyperoll.com,Hyperoll Crypto,contact@hyperoll.com,contact page,Quantum House Ltd,ALSI-202602027-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,sansli.io,Sansli,support@sansli.io,contact page,Dragonfruit Limited,ALSI-202603060-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,trenchbet.com,Trench Bet,support@trenchbet.com,affiliate page,Lock In Capital Ltd,ALSI-202604039-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,casinityx.com,casinityx,support@casinityx.com,affiliate page,3-102-942477 SRL,ALSI-202509036-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,wildroll.com,WildRoll,support@wildroll.com,affiliate page,Jackpot Junction Limited,ALSI-202509011-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,dustbit.com,Dustbit,support@dustbit.com,affiliate page,Oxilium Limited,ALSI-202509012-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,degen.com,Degen,support@degen.com,affiliate page,Degen Legend Limitada,ALSI-202509061-FI2,,2026-09-18,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,arba777.com,Arba777,support@arba777.com,affiliate page,Rtech LTD,ALSI-202509056-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,casino007.com,Casino007,affiliate@casino007.com,affiliate page,3-102-942052 SRL,ALSI-202510008-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,betet77.com,Sports,support@betet77.com,affiliate page,GF CLUB Seven Seven Limitada,ALSI-202510016-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,zunabet.com,Zunabet.com,affiliates@zunabet.com,affiliate page,Strathvale Group Ltd,ALSI-202510047-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,forzabet.live,Forza.Bet,support@forzabet.live,affiliate page,BeLion International Holdings Ltd.,ALSI-202510053-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bolt-casino.com,Bolt,contact@bolt-casino.com,affiliate page,3-102-946302 SRL,ALSI-202512028-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,degencity.com,DegenCity,support@degencity.com,affiliate page,3-102-939867 Limitada,ALSI-202601025-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,jeevybet.com,Jeevybet,support@jeevybet.com,affiliate page,3-102-947122 SRL,ALSI-202601034-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,betbanksy.com,Betbanksy,affiliate@betbanksy.com,affiliate page,SSA Technologies Ltd.,ALSI-202601017-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,winup.io,Winup,support@winup.io,affiliate page,3-102-952740 SRL,ALSI-202601062-FI2,,2027-01-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,metawin.com,Metawin,affiliates@arena.com,affiliate page,Rivolo Limited,ALSI-202602025-FI1,,2027-02-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,castle.com,Castle,partners@castle.com,affiliate page,Broken Tentacle Ltd,ALSI-202602048-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,gamealotroyale.com,Gamealotroyale,support@gamealotroyale.com,affiliate page,3-102-954988 SRL,ALSI-202602051-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,batcasino.bet,Batcasino,support@batcasino.bet,affiliate page,3-102-953033 SRL,ALSI-202602037-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,maksibet.com,Maksibet,info@maksibet.com,affiliate page,3-102-939685 SRL,ALSI-202603030-FI1,,2027-03-07,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,lugarbet.com,LugarBet,support@lugarbet.com,affiliate page,3-102-951260 SRL,ALSI-202603001-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bettogames.com,Bettogames,support@bettogames.com,affiliate page,3-102-954365 SRL,ALSI-202603002-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,cosmoracasinos.com,Cosmoracasinos,support@cosmoracasinos.com,affiliate page,3-102-958311 SRL,ALSI-202604029-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,fixbet.com,Fixbet,destek@fixbet.com,contact page,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,levabet.com,LevaBet,affiliate@levabet.com,affiliate page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,betpir.com,Betpir,affiliate@betpir.com,contact page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,matixbet.com,MatixBet,affiliate@matixbet.com,affiliate page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,ustabet.com,Ustabet,support@ustabet.com,affiliate page,Real Tech Ltd,ALSI-202601013-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,betbeto.com,Betbeto,support@betbeto.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,betmarino.com,Betmarino,chupurnov@gmail.com,affiliate page,Real Tech Ltd,ALSI-202601013-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,fortunehub.io,Fortune HUB,support@fortunehub.io,contact page,Fortune HUB OÜ,ALSI-202512031-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,betsmove.com,Betsmove,support@betsmove.com,contact page,Vesaro Limited,ALSI-202604046-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,betfal.com,Home,info@betfal.com,contact page,Anzal Ltd,ALSI-202510004-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,caposino.com,Caposino,support@mangodorado.com,contact page,CONDOOR V.P. LIMITED,ALSI-202510026-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,slotbaba.com,Slotbaba Official,info@slotbaba.com,contact page,IsleSoft Lab Ltd.,ALSI-202601011-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,oxy.casino,OXY,support@oxy.casino,contact page,Spiritus Limited,ALSI-202603056-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,tonplay.com,Tonplay,info.partners@tonplay.com,affiliate page,Galaxy Byte Lab SRL,ALSI-202508040-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,booty.casino,Booty,support@booty.casino,affiliate page,BMGruppe Ltd,ALSI-202510020-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,casinocrypto.io,CasinoCrypto,affiliates@casinocrypto.io,affiliate page,BMGruppe Ltd,ALSI-202510020-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,gold.casino,Gold,admin@gold.casino,affiliate page,3-102-944744 SRL,ALSI-202510061-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,robobet.com,Robobet,info@robobet.com,affiliate page,Aurevia Digital Ventures Ltd,ALSI-202510058-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,richevoslot.com,RICHEVO,support@game.com,contact page,Nuvorich Limited,ALSI-202509053-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,phonix.casino,Phonix,help@phonix.casino,contact page,3-102-939892 SRL,ALSI-202510006-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,loonieplay.com,loonieplay.com,info@loonieplay.com,affiliate page,Kingside Push Ltd,ALSI-202509025-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,spinay.com,Spinay,support@spinay.com,contact page,Oranox Ltd,ALSI-202601012-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,graildraw.com,GrailDraw,you@email.com,contact page,Grail Technologies Ltd.,ALSI-202512005-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,redslot.com,Access Restricted,support@redslot.com,contact page,3-102-953088 SRL,ALSI-202603040-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,vegasking.io,Vegasking,support@dragoon.dev,contact page,Royal Edge Holdings Limited,ALSI-202604013-FI1,,2027-04-13,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,slapperzz.com,Slapperzz,support@slapperzz.com,affiliate page,3-102-942611 SRL,ALSI-202509041-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,riskiiit.com,riskiiit,support@riskiiit.com,affiliate page,Overcooked Entertainment Ltd.,ALSI-202511044-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,hyperwin.org,Hyperwin,support@hyperwin.org,affiliate page,3-102-948725 SRL,ALSI-202512016-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,ibitplay.com,air1bet,support@air1bet.com,affiliate page,Coderstuff Ltd.,ALSI-202601029-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,cola.com,Cola.com,cola@gmail.com,affiliate page,Desert Star Limited,ALSI-202602041-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,enomocasino.com,Еномо Казино,support@enomocasino.com,affiliate page,3-102-944179 SRL,ALSI-202603016-FI1,,2027-02-28,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,C,mollydice.com,Mollydice,support@mollydice.com,affiliate page,Satoshi Labs Ltd,ALSI-202605020-FI1,,2027-05-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,slotin.com,Slotin,,,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,baywin.com,Baywin,,,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,maltcasino.com,MaltCasino,,,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,pinbahis.com,Pinbahis,,,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,tipobet.com,Tipobet Adresi,,,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,u2is.tech,U2IS,,,U2IS Limited,ALSI-202601056-FI2,,2027-01-30,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,voodoo.casino,Voodoo,,,Novatrix SRL,ALSI-202508056-FI2,,2026-08-24,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,betticket.com,Betticket,,,Riotorto Digital LTD,ALSI-202601035-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,grandbetting.com,Grandbetting,,,Riotorto Digital LTD,ALSI-202601035-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,queenbet.com,Queenbet,,,Riotorto Digital LTD,ALSI-202601035-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,betlike.com,Betlike,,,Riotorto Digital LTD,ALSI-202601035-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,betphoenix.ag,Betphoenix,,,International Radical Investment Ltd,ALSI-202509042-FI1,,2027-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,meritwin.com,Meritwin,,,Nowplatform Ltd.,ALSI-202509021-Fll,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,wpk.com,WePoker官网,,,High Gaming IT Services Limited,ALSI-202603023-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,wepoker.com,WePoker官网,,,High Gaming IT Services Limited,ALSI-202603023-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,A,stack.bet,Stack.bet,,,3-102-936714 SRL,ALSI-202512010-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,otobet.com,Otobet,,,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,betpublic.com,SoloBet AMP,,,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,bycasino.com,Bycasino,,,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
anjouan,B,betira.com,Betira lic,,,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,
