domain,brand,tier,programme,prog_url,prog_email,prog_telegram,prog_software,prog_licence,our_email,our_operator,our_licence
beatbet.com,BeatBet,exact,ICE Affiliates,https://affcatalog.com/en/aff-program/ice-affiliates/,affiliates@iceaffiliates.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,"Anjouan, Curacao",,Royal Bonanza B.V.,OGL/2024/304/0398
bet7k.cl,Bet7k,exact,7kPartners,https://affcatalog.com/en/aff-program/7kpartners/,info@7k.partners,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,NovaWave Technology N.V.,OGL/2024/547/0446
betbeast.com,BetBeast,exact,Thrill Partners,https://affcatalog.com/en/aff-program/thrill-partners/,partners@thrillpartners.com,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,FunGame LLC,ALSI-202508063-FI2
betflash24.com,Betflash24,exact,Betflash24 Partners,https://affcatalog.com/en/aff-program/betflash24-partners/,info@betflash24.com,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Loka IT Solutions N.V.,OGL/2024/770/0226
betfury.ac,BetFury,exact,BetFury Affiliates,https://affcatalog.com/en/aff-program/betfury-affiliates/,affiliate@betfury.com,https://telegram.me/BetFury_Affiliate,Affilka,Curacao,,,
betkudos.com,BetKudos,exact,BetKudos Partners,https://affcatalog.com/en/aff-program/betkudos-partners/,partners@betkudos.com,https://t.me/affcatalog?product=spsidebartop,EveryMatrix,Curacao,,,
betlabel.com,BetLabel,exact,22Bet Partners,https://affcatalog.com/en/aff-program/22bet-partners/,support@22betpartners.com,https://t.me/affcatalog?product=spsidebartop,NetRefer,"Anjouan, Curacao",,Techwave B.V.,OGL/2024/1653/0930
betmac.com,Betmac,exact,Hodl Partners,https://affcatalog.com/en/aff-program/hodl-partners/,info@hodl.partners.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Curacao,,Sefiarray B.V.,OGL/2024/842/0350
betmartini.com,Betmartini,exact,BetMartini Affiliates,https://affcatalog.com/en/aff-program/betmartini-affiliates/,affiliates@betmartini.com,https://t.me/affcatalog?product=spsidebartop,Tapfiliate,Curacao,,Media Entertainment N.V.,OGL/2024/1110/0512
betongame.com,Betongame,exact,Betongame Partners,https://affcatalog.com/en/aff-program/betongame-partners/,support@betongame.partners,https://t.me/affcatalog?product=spsidebartop,,Curacao,,Kromstex B.V.,OGL/2024/313/0337
betphoenix.ag,BetPhoenix,exact,BetPhoenix Affiliates,https://affcatalog.com/en/aff-program/betphoenix-affiliates/,promoters@betphoenix.ag,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,International Radical Investment Ltd,ALSI-202509042-FI1
betsala.com,Betsala,exact,Betsala,https://affcatalog.com/en/aff-program/betsala/,,https://t.me/affcatalog?product=spsidebartop,BetConstruct,Curacao,,Betsala B.V.,OGL/2024/1506/0854
betsat.com,Betsat,exact,Betsat Affiliates,https://affcatalog.com/en/aff-program/betsat-affiliates/,,https://t.me/affcatalog?product=spsidebartop,Income Access,Curacao,,Poligon Entertainment N.V.,OGL/2024/815/0653
betsomnia.com,BetSomnia,exact,Megapartners,https://affcatalog.com/en/aff-program/megapartners/,,https://t.me/affcatalog?product=spsidebartop,Affilka,"Curacao, Malta (MGA)",,FairGame G.P. N.V.,OGL/2024/1673/0915
betssen.com,BETSSEN,exact,BETSSEN Partners,https://affcatalog.com/en/aff-program/betssen-partners/,partners@betssen.com,https://t.me/affcatalog?product=spsidebartop,BetConstruct,Curacao,,Great BDG Randon Entertainment N.V.,OGL/2024/544/0557
betti.com,Betti,exact,Betti Affiliates,https://affcatalog.com/en/aff-program/betti-affiliates/,info@bettiaffiliates.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Curacao,,Sefiarray B.V.,OGL/2024/842/0350
betturkey.com,Betturkey,exact,Betturkey Partners,https://affcatalog.com/en/aff-program/betturkey-partners/,marketing@betturkey.com,https://t.me/affcatalog?product=spsidebartop,,Curacao,,Galactic Infinity Ltd,ALSI-202511048-FI2
bettyspin.com,Bettyspin,exact,WinHub Partners,https://affcatalog.com/en/aff-program/winhub-partners/,contact@winhubpartners.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Terdersoft B.V.,OGL/2024/1126/0521
betwinner.com,BetWinner,exact,Betwinner Affiliates,https://affcatalog.com/en/aff-program/betwinner-affiliates/,support@betwinneraffiliates.com,https://t.me/affcatalog?product=spsidebartop,In-house,"Curacao, Ghana, Kenya (BCLB), Nigeria, Serbia (GCA), Tanzania, Mozambique, Cameroon, Cote dIvoire, Democratic Republic of the Congo, Zambia",,Prevailer B.V.,OGL/2024/341/0759
betwinner.llc,BetWinner,exact,Betwinner Affiliates,https://affcatalog.com/en/aff-program/betwinner-affiliates/,support@betwinneraffiliates.com,https://t.me/affcatalog?product=spsidebartop,In-house,"Curacao, Ghana, Kenya (BCLB), Nigeria, Serbia (GCA), Tanzania, Mozambique, Cameroon, Cote dIvoire, Democratic Republic of the Congo, Zambia",,Luckyroo N.V.,OGL/2024/1371/0694
bigboost.com,Big Boost,exact,Rhino Affiliates,https://affcatalog.com/en/aff-program/rhino-affiliates/,affiliates@rhinoaffiliates.com,https://t.me/affcatalog?product=spsidebartop,NetRefer,Curacao,,White Star B.V.,OGL/2023/159/0076
bigwins.com,BigWins,exact,Moonrocket Affiliates,https://affcatalog.com/en/aff-program/moonrocket-affiliates/,contact@moonrocketaffiliates.com,https://telegram.me/+-li2G8gL_H0xYjI8,Cellxpert,Curacao,,EastPoint Operations B.V.,OGL/2024/1093/0504
billionairespin.com,Billionaire Spin,exact,FTD Gallery Affiliates,https://affcatalog.com/en/aff-program/ftd-gallery-affiliates/,affiliates@ftdgallery.com,https://telegram.me/+jaNddJ1Zf04yZjQy,Cellxpert,Curacao,,Terdersoft B.V.,OGL/2024/1126/0521
bitsler.com,Bitsler,exact,Bitsler Partners,https://affcatalog.com/en/aff-program/bitsler-partners/,partners@bitsler.com,https://telegram.me/bitsler_casino,In-house,Curacao,,Oyine N.V.,OGL/2024/930/0387
bitstarz.com,Bitstarz,exact,Bitstarz Affiliates,https://affcatalog.com/en/aff-program/bitstarz-affiliates/,affiliates@bitstarz.com,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,Gareton B.V.,OGL/2024/165/0185
bizbet.io,BizBet,exact,Bizbet Partners,https://affcatalog.com/en/aff-program/bizbet-partners/,support@bizbet.partners,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Gameway Global LLC,ALSI-202511025-FI2
bizbet.mobi,BizBet,exact,Bizbet Partners,https://affcatalog.com/en/aff-program/bizbet-partners/,support@bizbet.partners,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,support-en@africa-bizbet.com,Gameway Global LLC,ALSI-202511025-FI2
bizzocasino.com,Bizzo Casino,exact,Playamo Partners,https://affcatalog.com/en/aff-program/playamopartners/,affiliates@playamopartners.com,https://telegram.me/playamo_partners_official,NetRefer,"Curacao, Malta (MGA)",,TechSolutions Group B.V.,OGL/2024/590/0758
blaze.com,Blaze,exact,Blaze Affiliates,https://affcatalog.com/en/aff-program/blaze-affiliates/,affiliates@blaze.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Prolific Trade N.V.,OGL/2024/1415/0636
blazespins.com,Blaze Spins,exact,Blaze Spins Affiliates,https://affcatalog.com/en/aff-program/blaze-spins-affiliates/,partners@blazeaffiliates.com,https://t.me/affcatalog?product=spsidebartop,MAP,Anjouan,,,
bluechip.io,Bluechip,exact,Bluechip Partners,https://affcatalog.com/en/aff-program/bluechip-partners/,hello@bluechip.partners,https://telegram.me/bluechippartners_bot,EveryMatrix,Curacao,,,
bodog.io,Bodog,exact,Revenue Network Affiliates,https://affcatalog.com/en/aff-program/revenue-network-affiliates/,,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,"Antigua and Barbuda, Curacao, Kahnawake",,Caravan Media B.V.,OGL/2024/674/0714
bonanzagame.com,Bonanza Game,exact,AffArea Affiliates,https://affcatalog.com/en/aff-program/affarea-affiliates/,affiliate@affarea.com,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,WoT N.V.,OGL/2024/452/0687
bonuskong.com,BonusKong,exact,Shogun Affiliates,https://affcatalog.com/en/aff-program/shogun-affiliates/,affiliates@shogunaffiliates.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Rocket Play B.V.,OGL/2024/2413/1228
booi.com,Booi,exact,Gambling Craft,https://affcatalog.com/en/aff-program/gambling-craft/,support@gamblingcraft.com,https://telegram.me/Gambling_craft_news,,Curacao,,Globonet B.V.,OGL/2024/367/0690
boomzino.com,BOOMZINO,exact,380 Partners,https://affcatalog.com/en/aff-program/380-partners/,support@380.partners,https://t.me/affcatalog?product=spsidebartop,Cellxpert,,,Neroblanko Tech N.V.,OGL/2024/790/0272
buustikasino.com,Buusti Kasino,exact,Rhino Affiliates,https://affcatalog.com/en/aff-program/rhino-affiliates/,affiliates@rhinoaffiliates.com,https://t.me/affcatalog?product=spsidebartop,NetRefer,Curacao,,White Star B.V.,OGL/2023/159/0076
candyspinz.com,CandySpinz,exact,Chilli Partners,https://affcatalog.com/en/aff-program/chilli-partners/,,https://t.me/affcatalog?product=spsidebartop,"Affilka, Cellxpert","Curacao, Malta (MGA), Danish Gambling Authority (DGA), United Kingdom (UKGC)",,Terdersoft B.V.,OGL/2024/1126/0521
capospin.com,Capo Spin,exact,Capo Network,https://affcatalog.com/en/aff-program/capo-network/,affiliates@caponetwork.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Terdersoft B.V.,OGL/2024/1126/0521
casino-x.com,Casino-X,exact,PoshFriends,https://affcatalog.com/en/aff-program/poshfriends/,support@poshfriends.com,https://telegram.me/poshfriends,In-house,Curacao,,Pomadorro N.V.,OGL/2024/863/0412
casino.satospins.com,SATOSPINS,exact,SureBet Partners,https://affcatalog.com/en/aff-program/surebet-partners/,affiliates@surebetpartners.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Costa Rica,,,
casino4u.tech,Casino4U,exact,Fastpay Affiliates,https://affcatalog.com/en/aff-program/fastpay-affiliates/,affiliates@fastpay-casino.com,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,,
casinobello.info,Casino Bello,exact,Blitz Affiliates,https://affcatalog.com/en/aff-program/blitz-affiliates/,info@blitzaffiliates.com,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,,
casinobossy.com,CasinoBossy,exact,Maggiore Partners,https://affcatalog.com/en/aff-program/maggiore-partners/,affiliates@maggiorepartners.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,,,Neroblanko Tech N.V.,OGL/2024/790/0272
casinoclic.com,Casino Clic,exact,Riviera Rewards,https://affcatalog.com/en/aff-program/riviera-rewards/,admin@rivierarewards.com,https://t.me/affcatalog?product=spsidebartop,,No license,,Galactic Investments B.V.,OGL/2024/1323/0734
casinofriday.com,CasinoFriday,exact,Funnz Partners,https://affcatalog.com/en/aff-program/funnz-partners/,affiliates@funnz.partners,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Estonia (ETCB),,Far Up Entertainment N.V.,OGL/2024/361/0119
casinojamboree.com,Casino Jamboree,exact,Dodon Partners,https://affcatalog.com/en/aff-program/dodon-partners/,support@dodonpartners.com,https://t.me/affcatalog?product=spsidebartop,NetRefer,Curacao,,Osmila N.V.,OGL/2024/1276/0583
casinomega.com,CasinoMega,exact,King Revenue Partners,https://affcatalog.com/en/aff-program/king-revenue-partners/,affiliates@kingrevenue.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Curacao,,Continental Solutions Limited B.V.,OGL/2024/1208/0715
casinoorca.com,CasinoOrca,exact,Memato Group,https://affcatalog.com/en/aff-program/memato-group/,partners@mematogroup.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Curacao,,Wild Blackfin Limited SRL,ALSI-202601043-FI2
casinopurple.info,Casino Purple,exact,Purple Commissions,https://affcatalog.com/en/aff-program/purple-commissions/,,https://t.me/affcatalog?product=spsidebartop,EGO,Curacao,,,
casinostars.io,CasinoStars,exact,Memato Group,https://affcatalog.com/en/aff-program/memato-group/,partners@mematogroup.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Curacao,,MOONSEEKER SRL,ALSI-202509006-FI1
casinovibes.com,CasinoVibes,exact,EZY Gaming,https://affcatalog.com/en/aff-program/arcanebet-affiliates/,affiliates@arcanebet.com,https://t.me/affcatalog?product=spsidebartop,EveryMatrix,Curacao,,TH Gambling N.V.,OGL/2024/1468/1024
chance.net,Chance,exact,Tipsport Partners,https://affcatalog.com/en/aff-program/tipsport-partners/,affiliate@tipsport.cz,https://t.me/affcatalog?product=spsidebartop,In-house,"Czech Republic, Slovakia (URHH)",,Chance Ltd,ALSI-202510039-FI2
cherryjackpot.com,CherryJackpot,exact,Legend Affiliates,https://affcatalog.com/en/aff-program/legend-affiliates/,managers@legendaffiliates.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Anjouan,,,
cloudbet.com,Cloudbet,exact,Cloudbet Affiliates,https://affcatalog.com/en/aff-program/cloudbet-affiliates/,affiliates@cloudbet.com,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Halcyon Super Holdings B.V.,OGL/2024/328/0599
coinbets777.com,CoinBets777,exact,Coinbets777 Affiliates,https://affcatalog.com/en/aff-program/coinbets777-affiliates/,affiliates@coinbets777.com,https://t.me/affcatalog?product=spsidebartop,Rival,No license,,,
coldbet.com,Coldbet,exact,Coldbet Partners,https://affcatalog.com/en/aff-program/coldbet-partners/,support@coldbet.partners,https://telegram.me/coldbet_partners,In-house,"Anjouan, Curacao",,Game2Net B.V.,OGL/2024/296/1093
corgislot.com,CorgiSlot,exact,Corgi Partners,https://affcatalog.com/en/aff-program/corgi-partners/,affiliate@corgipartners.com,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,FairGame G.P. N.V.,OGL/2024/1673/0915
crypto-games.io,Crypto-Games,exact,Crypto-Games Affiliates,https://affcatalog.com/en/aff-program/crypto-games-affiliates/,,https://t.me/affcatalog?product=spsidebartop,In-house,Costa Rica,,,
cryptoslots.com,CryptoSlots,exact,Slotland Affiliates,https://affcatalog.com/en/aff-program/slotland-affiliates/,program@slotlandaffiliates.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Anjouan,,,
dazard.club,Dazard,exact,Brofist Partners,https://affcatalog.com/en/aff-program/brofist-partners/,affiliates@brofist.partners,https://telegram.me/brofist_partners,Affilka,Curacao,,Dama N.V.,OGL/2023/174/0082
db-bet.com,DBbet,exact,DBbet Partners,https://affcatalog.com/en/aff-program/dbbet-partners/,support@partnersdbbet.com,https://telegram.me/dbbetaffiliates,In-house,Curacao,,Sport Tech N.V.,OGL/2024/574/0913
dicebet.com,DiceBet,exact,DiceBet Partners,https://affcatalog.com/en/aff-program/dicebet-partners/,partners@dicebet.com,https://telegram.me/dicebet_partners_welcome_bot,Alanbase,Curacao,,Advanced Sports Entertainment N.V.,OGL/2024/635/0818
dragonslots.com,Dragonslots,exact,Playamo Partners,https://affcatalog.com/en/aff-program/playamopartners/,affiliates@playamopartners.com,https://telegram.me/playamo_partners_official,NetRefer,"Curacao, Malta (MGA)",,Innovex B.V.,OGL/2024/1769/1016
efbet.net,efbet,exact,Efbet Affiliates,https://affcatalog.com/en/aff-program/efbet-affiliates/,,https://t.me/affcatalog?product=spsidebartop,Income Access,Malta (MGA),,AE Group B.V.,OGL/2024/216/0606
egb.com,EGB,exact,eGamingBets Affiliates,https://affcatalog.com/en/aff-program/egamingbets-affiliates/,support@egbaffiliates.com,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Exedra N.V.,OGL/2024/1277/0496
exclusive.america777.com,America777,exact,Affiliate Slots,https://affcatalog.com/en/aff-program/affiliate-slots/,info@affiliateslots.com,https://t.me/affcatalog?product=spsidebartop,Wynta,"Anjouan, Curacao",,,
fairpari.com,FairPari,exact,Fairpari Partners,https://affcatalog.com/en/aff-program/fairpari-partners/,support@fairpari.partners,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Centrald B.V.,OGL/2024/1143/0865
fairpari.com:443,FairPari,exact,Fairpari Partners,https://affcatalog.com/en/aff-program/fairpari-partners/,support@fairpari.partners,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,,
fan-sport.com,FANSPORT,exact,FANPARTNERS,https://affcatalog.com/en/aff-program/fan-partners/,info@fanpartners.bet,https://t.me/affcatalog?product=spsidebartop,U-Platform,Curacao,,Interactive Betting N.V.,OGL/2024/537/0691
fantasticbet.com,FantasticBet,exact,Fantasticbet Affiliates,https://affcatalog.com/en/aff-program/fantasticbet-affiliates/,,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Radon B.V.,OGL/2024/802/0282
fastpari.com,FastPari,exact,FastPari Partners,https://affcatalog.com/en/aff-program/fastpari-partners/,support@fastpari.partners,https://t.me/affcatalog?product=spsidebartop,,Curacao,,Mystic Glitter B.V.,OGL/2024/997/0945
felixspin.com,Felixspin,exact,7Ladies Affiliates,https://affcatalog.com/en/aff-program/7ladies-affiliates/,affiliates@7ladies.com,https://telegram.me/the7ladies,Cellxpert,Curacao,,Terdersoft B.V.,OGL/2024/1126/0521
flukyone.com,Flukyone,exact,FlukyOne Affiliates,https://affcatalog.com/en/aff-program/flukyone-affiliates/,,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Momo Entertainment B.V.,OGL/2024/940/0485
flush.com,Flush,exact,Flush Partners,https://affcatalog.com/en/aff-program/flush-partners/,,https://t.me/affcatalog?product=spsidebartop,Affilka,Tobique (TGC),,Fordegens Limitada,ALSI-202509008-FI1
fortuneplay.co,Fortune Play,exact,Rooster Partners,https://affcatalog.com/en/aff-program/rooster-partners/,contact@roosterpartners.com,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,,
forzabet.live,ForzaBet,exact,Forza.Bet Affiliates,https://affcatalog.com/en/aff-program/forza-bet-affiliates/,affiliates@forza.bet,https://t.me/affcatalog?product=spsidebartop,,Anjouan,support@forzabet.live,BeLion International Holdings Ltd.,ALSI-202510053-FI2
freakybillion.com,FreakyBIllion,exact,Casiworx Partners,https://affcatalog.com/en/aff-program/casiworx-partners/,affiliates@casiworx.partners,https://t.me/affcatalog?product=spsidebartop,Affise,Curacao,,Casiworx N.V.,OGL/2024/1278/0497
freespinz.com,FreeSpinz,exact,Freespinz Affiliates,https://affcatalog.com/en/aff-program/freespinz-affiliates/,,https://t.me/affcatalog?product=spsidebartop,,Curacao,,Pacific Odds SRL,ALSI-202510032-FI1
funbet.me,Funbet,exact,Affina Partners,https://affcatalog.com/en/aff-program/affina-partners/,affiliates@affina.com,https://t.me/affcatalog?product=spsidebartop,ReferOn,,reach.us@funbet.me,3-102-938581 Limitada,ALSI-202508066-FI2
funpari.com,FunPari,exact,FunPari Partners,https://affcatalog.com/en/aff-program/funpari-partners/,support@funpari.partners,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Kromstex B.V.,OGL/2024/313/0337
gdfplay.com,GDFplay,exact,PIQ Partners,https://affcatalog.com/en/aff-program/piq-partners/,,https://t.me/affcatalog?product=spsidebartop,,Curacao,,WoT N.V.,OGL/2024/452/0687
get.winbig21.com,Winbig21,exact,WinBig Affiliates,https://affcatalog.com/en/aff-program/winbig-affiliates/,,https://t.me/affcatalog?product=spsidebartop,Rival,Curacao,,,
getwin.online,GetWin,exact,GetWin Partners,https://affcatalog.com/en/aff-program/getwin-partners/,aff@getwin.info,https://telegram.me/getwin_partners,,No license,support@getwin.online,3-102-945845 SRL,ALSI-202511035-FI2
glory.casino,Glory,exact,Glory Partners,https://affcatalog.com/en/aff-program/glory-partners/,support@glory.bet,https://telegram.me/glorypartners,Alanbase,Curacao,,Bettor IO N.V.,OGL/2024/1699/1163
godbunny.com,GodBunny,exact,GodBunny Affiliates,https://affcatalog.com/en/aff-program/godbunny-affiliates/,,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Godbunny B.V.,OGL/2024/199/0868
gomblingo.casino,GOMBLINGO,exact,AffShares Partners,https://affcatalog.com/en/aff-program/affshares-partners/,support@affshares.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,,
granawin.com,Granawin,exact,Playamo Partners,https://affcatalog.com/en/aff-program/playamopartners/,affiliates@playamopartners.com,https://telegram.me/playamo_partners_official,NetRefer,"Curacao, Malta (MGA)",,Innovex B.V.,OGL/2024/1769/1016
grandz.com,GrandZ,exact,Peak Gamble Affiliates,https://affcatalog.com/en/aff-program/peak-gamble-affiliates/,financial@peakgamble.com,https://t.me/affcatalog?product=spsidebartop,"MyAffiliates, ReferOn","Anjouan, Curacao, Kahnawake",,Brightstar N.V.,OGL/2024/1455/0790
grizzly.online,Grizzly,exact,Grizzly Affiliates,https://affcatalog.com/en/aff-program/grizzly-affiliates/,affiliate@grizzly.bingo,https://t.me/affcatalog?product=spsidebartop,In-house,Anjouan,affiliate@grizzly.bingo,GC Service Group Ltd,ALSI-202508052-FI2
grizzly.win,Grizzly,exact,Grizzly Affiliates,https://affcatalog.com/en/aff-program/grizzly-affiliates/,affiliate@grizzly.bingo,https://t.me/affcatalog?product=spsidebartop,In-house,Anjouan,affiliate@grizzly.bingo,GC Service Group Ltd,ALSI-202508052-FI2
hellocasino.io,Hello Casino,exact,Superfly Partners,https://affcatalog.com/en/aff-program/superfly-partners/,support@superflypartners.net,https://t.me/affcatalog?product=spsidebartop,Scaleo,"Malta (MGA), United Kingdom (UKGC)",,3-102-940372 SRL,ALSI-202604020-FI2
hellspin.vip,Hell Spin,exact,HELL Partners,https://affcatalog.com/en/aff-program/hell-partners/,affiliates@hellpartners.com,https://telegram.me/hellpartners0,NetRefer,Curacao,,Latcas B.V.,OGL/2024/1676/0905
highflybet.com,Highflybet,exact,Shogun Affiliates,https://affcatalog.com/en/aff-program/shogun-affiliates/,affiliates@shogunaffiliates.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Terdersoft B.V.,OGL/2024/1126/0521
honeybetz.com,HoneyBetz,exact,ChinChin Partners,https://affcatalog.com/en/aff-program/chinchin-partners/,affiliates@chinchinpartners.com,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Costa Rica,,Terdersoft B.V.,OGL/2024/1126/0521
hornetbet.io,Hornetbet,exact,Hornetbet Partners,https://affcatalog.com/en/aff-program/hornetbet-partners/,affiliate@hornetbet.com,https://t.me/affcatalog?product=spsidebartop,In-house,Curacao,,Jay Services B.V.,OGL/2024/1118/0773
hotbet.bet,HOTBET,exact,Hot Bet Affiliates,https://affcatalog.com/en/aff-program/hot-bet-affiliates/,,https://t.me/affcatalog?product=spsidebartop,Cellxpert,Curacao,,Misterio Vacio B.V.,OGL/2024/1334/1038
instaslots.com,Instaslots,exact,Rock and Roi Affiliates,https://affcatalog.com/en/aff-program/rock-and-roi-affiliates/,,https://t.me/affcatalog?product=spsidebartop,Affilka,Curacao,,High Seas N.V.,OGL/2024/1533/0769
intellectbet.com,Intellectbet,exact,Casiworx Partners,https://affcatalog.com/en/aff-program/casiworx-partners/,affiliates@casiworx.partners,https://t.me/affcatalog?product=spsidebartop,Affise,Curacao,,Casiworx N.V.,OGL/2024/1278/0497
ivibet.game,Ivibet,exact,HELL Partners,https://affcatalog.com/en/aff-program/hell-partners/,affiliates@hellpartners.com,https://telegram.me/hellpartners0,NetRefer,Curacao,,Latcas B.V.,OGL/2024/1676/0905
ivybet.io,Ivybet,exact,7Ladies Affiliates,https://affcatalog.com/en/aff-program/7ladies-affiliates/,affiliates@7ladies.com,https://telegram.me/the7ladies,Cellxpert,Curacao,,Neroblanko Tech N.V.,OGL/2024/790/0272
jackpot-town.com,Jackpot Town,exact,Revenue Haven Affiliates,https://affcatalog.com/en/aff-program/revenue-haven-affiliates/,affiliation@revenuehaven.com,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,Isle of Man,,Yentel Investments B.V.,OGL/2024/1349/0997
jetton.online,JetTon,exact,JetTon Partners,https://affcatalog.com/en/aff-program/jetton-partners/,info.partners@jetton.games,https://telegram.me/jettonpartnersinfo,In-house,Anjouan,,JetTon Games B.V.,OGL/2024/2287/1195
joefortune.com,Joe Fortune,exact,Revenue Network Affiliates,https://affcatalog.com/en/aff-program/revenue-network-affiliates/,,https://t.me/affcatalog?product=spsidebartop,MyAffiliates,"Antigua and Barbuda, Curacao, Kahnawake",,Ridley Media N.V.,OGL/2024/676/0726
