operator,brands,contact_email,reachable,flagship_brand,flagship_site,newest_licence,name_is_reg_number,all_domains,status,contacted_on,notes
Flashpot Ltd,2,,no,Hello There!,https://acespinz.com,2025-08-29,no,acespinz.com slash.bet,not contacted,,
FunGame LLC,2,,no,BetBeast,https://betbeast.com,2025-08-29,no,betbeast.com spin.io,not contacted,,
Galaxy Byte Lab SRL,2,,no,Tonplay,https://tonplay.com,2025-08-29,no,tonplay.com godsgame.casino,not contacted,,
GC Service Group Ltd,2,,no,Casino Grizzly,https://grizzly.online,2025-08-29,no,grizzly.online grizzly.win,not contacted,,
Nova Code Limitada,2,,no,TuCasino,https://tucasino.lat,2025-08-29,no,tucasino.lat juegojoker.com,not contacted,,
Eagle Nobility LTD,2,,no,Grbets Resmi Giriş Adresi,https://grbets.com,2025-09-16,no,grbets.com acarbet.com,not contacted,,
Total Unlimited Marketing Ltd,2,,no,Spassino Casino,https://spassino.com,2025-09-16,no,spassino.com funbahis.com,not contacted,,
Zenobet Ltd,2,,no,Zenobet,https://zenobet.com,2025-09-16,no,zenobet.com zenobet.gg,not contacted,,
3-102-937541 SRL,2,,no,Betoranje,https://betoranje.com,2025-09-30,yes,betoranje.com inky.bet,not contacted,,
3-102-938906 SRL,2,,no,Mad Casino официальный сайт,https://mad.casino,2025-10-16,yes,mad.casino madcasino.org,not contacted,,
BMGruppe Ltd,2,,no,CasinoCrypto,https://casinocrypto.io,2025-10-16,no,casinocrypto.io booty.casino,not contacted,,
Lavbet Limitada,2,,no,LavBet,https://lavbet.co,2025-10-16,no,lavbet.co lavbet.com,not contacted,,
3-102-944744 SRL,2,,no,Gold Casino,https://gold24x7.com,2025-10-29,yes,gold24x7.com gold.casino,not contacted,,
Aurevia Digital Ventures Ltd,2,,no,Robobet,https://robobet.com,2025-10-29,no,robobet.com playbet.io,not contacted,,
DH Entertainment Ltd.,2,,no,Dh,https://dh.casino,2025-10-29,no,dh.casino dhcasino.games,not contacted,,
OWG Group Limited,2,,no,Mrcriptobet,https://mrcriptobet.com,2025-11-05,no,mrcriptobet.com tikbet.games,not contacted,,
3-102-938908 SRL,2,,no,Bolly Game,https://bollygame.com,2025-11-30,yes,bollygame.com k1.game,not contacted,,
3-102-945737 SRL,2,,no,LV33,https://lv33.com,2025-11-30,yes,lv33.com lv33.io,not contacted,,
3-102-945845 SRL,2,,no,Getwin,https://getwin.online,2025-11-30,yes,getwin.online fortislots.com,not contacted,,
3-102-947393 SRL,2,,no,pro11play.com is parked,https://pro11play.com,2025-11-30,yes,pro11play.com pro11casino.com,not contacted,,
3-102-946386 SRL,2,,no,Aryanbet,https://aryanbet.com,2025-12-15,yes,aryanbet.com xprobet.com,not contacted,,
OW Internacional Ltd,2,,no,GANGABET Apuestas y Casino Online,https://bufonbet.com,2025-12-15,no,bufonbet.com gangabet.mx,not contacted,,
Drazze Limited,2,,no,Drazze,https://drazzewin.com,2025-12-22,no,drazzewin.com drazze.casino,not contacted,,
Diamante Tech Ltd,2,,no,Spin Betz,https://spin-betz.com,2026-01-05,no,spin-betz.com theluckyspinz.com,not contacted,,
Luxora Interactive Limited,2,,no,Stradabet,https://stradabet.com,2026-01-15,no,stradabet.com hojabet.com,not contacted,,
GBO ASSETS LTD,2,,no,Quokkasino,https://quokkasino.com,2026-01-31,no,quokkasino.com goldante.com,not contacted,,
Roulo Interactive Games LLC,2,,no,Roulo,https://roulobets.com,2026-02-16,no,roulobets.com roulo.gg,not contacted,,
AWSLO Limited,2,,no,Betting website,https://time4bets.com,2026-03-03,no,time4bets.com gooobet.com,not contacted,,
QQPOKER Technology Limited,2,,no,QQPK,https://qqpk.com,2026-03-14,no,qqpk.com qqpk.poker,not contacted,,
3-102-950412 LIMITADA,2,,no,Jp88,https://jp88.io,2026-03-31,no,jp88.io jackpot88.io,not contacted,,
3-102-950813 LIMITADA,2,,no,Normal Game,https://normal-game.com,2026-03-31,no,normal-game.com normal.game,not contacted,,
LIQD LTD,2,,no,LIQD,https://liqd.com,2026-03-31,no,liqd.com liqd.gg,not contacted,,
Normanhouse LTD,2,,no,TEN by TEN BET / 10x10bet,https://10x10bet.com,2026-03-31,no,10x10bet.com 10x10.bet,not contacted,,
Novaspin Network Ltd,2,,no,Tau777,https://tau777.mx,2026-03-31,no,tau777.mx oktop.mx,not contacted,,
Play Fortune Entertainment Ltd,2,,no,Bet303,https://bet303.com,2026-03-31,no,bet303.com bet808.com,not contacted,,
3-102-954785 LIMITADA,2,,no,BUFF.gg,https://buff.gg,2026-04-29,no,buff.gg gamblit.net,not contacted,,
Dexbay Ltd,2,,no,Stepsino,https://stepsino.com,2026-04-29,no,stepsino.com keyzino.com,not contacted,,
PlayTrust Ltd,2,,no,Coming Soon,https://stakevegas.net,2026-04-29,no,stakevegas.net stakevegas.com,not contacted,,
Fatbets Ltd,1,support@gamdom.com,yes,Gamdom,https://fatbets.com,2025-08-29,no,fatbets.com,not contacted,,
EZCS Solutions Ltd,1,support@ezcash.casino,yes,EZCASH,https://ezcash.casino,2025-09-03,no,ezcash.casino,not contacted,,
Kingside Push Ltd,1,info@loonieplay.com,yes,loonieplay.com,https://loonieplay.com,2025-09-16,no,loonieplay.com,not contacted,,
Nuvorich Limited,1,support@game.com,yes,RICHEVO SLOT,https://richevoslot.com,2025-09-30,no,richevoslot.com,not contacted,,
3-102-939892 SRL,1,help@phonix.casino,yes,Phonix Casino,https://phonix.casino,2025-10-16,yes,phonix.casino,not contacted,,
Megapot Inc,1,support@megapot.io,yes,Megapot,https://megapot.io,2025-10-16,no,megapot.io,not contacted,,
3-102-942955 SRL,1,partners@whalebet.gg,yes,WhaleBet Online Casino & Sports Betting,https://whalebet.gg,2025-11-04,yes,whalebet.gg,not contacted,,
3-102-942828 SRL,1,support@slot.win,yes,Slot.win,https://slot.win,2025-11-15,yes,slot.win,not contacted,,
3-102-943085 SRL,1,hey@raize.poker,yes,RAIZE,https://raize.poker,2025-11-30,yes,raize.poker,not contacted,,
3-102-947775 Limitada,1,support@stakeboss.com,yes,Stakeboss Home,https://stakeboss.com,2025-11-30,no,stakeboss.com,not contacted,,
3-102-940062 SRL,1,example@email.com,yes,Sign in ・ Cloudflare Access,https://frogbet.com,2025-12-15,yes,frogbet.com,not contacted,,
Betida Entertainment Ltd,1,support@betida.com,yes,BETIDA,https://betida.com,2025-12-15,no,betida.com,not contacted,,
Grail Technologies Ltd.,1,you@email.com,yes,GrailDraw,https://graildraw.com,2025-12-15,no,graildraw.com,not contacted,,
Aldex Win Ltd,1,support@aldex.com,yes,Aldex Win,https://aldex.win,2025-12-22,no,aldex.win,not contacted,,
LuminousCompany Ltd.,1,support@luminous.casino,yes,Luminous,https://luminous.casino,2026-01-05,no,luminous.casino,not contacted,,
Oranox Ltd,1,support@spinay.com,yes,...,https://spinay.com,2026-01-15,no,spinay.com,not contacted,,
3-102-952781 SRL,1,support@betabc.io,yes,betabc,https://betabc.io,2026-02-16,yes,betabc.io,not contacted,,
Aymora Group Ltd,1,support@betamina.com,yes,"Online Casino, Sports Betting and Poker",https://betamina.com,2026-02-16,no,betamina.com,not contacted,,
Gamwiz Inc,1,marketing@gamwiz.com,yes,Gamwiz,https://gamwiz.com,2026-02-28,no,gamwiz.com,not contacted,,
Quantum House Ltd,1,contact@hyperoll.com,yes,Hyperoll Crypto Casino,https://hyperoll.com,2026-02-28,no,hyperoll.com,not contacted,,
Terravista Entertainment Ltd,1,sac@cat2bet.com,yes,Cat2Bet,https://cat2bet.com,2026-03-09,no,cat2bet.com,not contacted,,
Pulsiora Ltd,1,support@betum.com,yes,Mobile Casino & Sports Betting,https://betum.com,2026-03-14,no,betum.com,not contacted,,
3-102-953088 SRL,1,support@redslot.com,yes,Access Restricted,https://redslot.com,2026-03-31,yes,redslot.com,not contacted,,
Dragonfruit Limited,1,support@sansli.io,yes,Sansli,https://sansli.io,2026-03-31,no,sansli.io,not contacted,,
Royal Edge Holdings Limited,1,support@dragoon.dev,yes,Online Casino & Slots,https://vegasking.io,2026-04-14,no,vegasking.io,not contacted,,
Lock In Capital Ltd,1,support@trenchbet.com,yes,Trench Bet,https://trenchbet.com,2026-04-29,no,trenchbet.com,not contacted,,
3-102-938326 SRL,1,,no,Vamo Play,https://vamoplay.com,2025-08-29,yes,vamoplay.com,not contacted,,
BrightSky Ltd,1,,no,Great Slot,https://greatslots.com,2025-08-29,no,greatslots.com,not contacted,,
Gamerly Holding Ltd,1,,no,Betmonks,https://betmonks.com,2025-08-29,no,betmonks.com,not contacted,,
PRAECUS LLC,1,,no,1xbetanj,https://1xbetanj.com,2025-08-29,no,1xbetanj.com,not contacted,,
Fordegens Limitada,1,,no,Flush Crypto Casino,https://flush.com,2025-09-03,no,flush.com,not contacted,,
3-102-938312 SRL,1,,no,Xypoker1,https://xypoker1.com,2025-09-12,yes,xypoker1.com,not contacted,,
3-102-941073 SRL,1,,no,Betitor,https://betitor.com,2025-09-16,yes,betitor.com,not contacted,,
3-102-942477 SRL,1,,no,casinityx,https://casinityx.com,2025-09-16,yes,casinityx.com,not contacted,,
3-102-942611 SRL,1,,no,Slapperzz,https://slapperzz.com,2025-09-16,yes,slapperzz.com,not contacted,,
Blackwave Ltd.,1,,no,Kikabet,https://kikabet.com,2025-09-16,no,kikabet.com,not contacted,,
Final Whistle Ltd,1,,no,Gameside,https://gameside.io,2025-09-16,no,gameside.io,not contacted,,
Fortaluna Ltd,1,,no,Dadastake Casino,https://dadastake.com,2025-09-16,no,dadastake.com,not contacted,,
Hexiro Ltd,1,,no,AnuBet,https://anubet.com,2025-09-16,no,anubet.com,not contacted,,
Jackpot Junction Limited,1,,no,WildRoll Online Casino,https://wildroll.com,2025-09-16,no,wildroll.com,not contacted,,
Oxilium Limited,1,,no,Dustbit,https://dustbit.com,2025-09-16,no,dustbit.com,not contacted,,
PC Play365 Ltd,1,,no,Golden Clover Casino,https://goldenclovercasino.com,2025-09-16,no,goldenclovercasino.com,not contacted,,
Red Ace Limited,1,,no,7Red.com Online,https://7red.com,2025-09-16,no,7red.com,not contacted,,
Solidplay Group Limitada,1,,no,Lucky Spy Casino,https://luckyspy.com,2025-09-16,no,luckyspy.com,not contacted,,
Degen Legend Limitada,1,,no,Degen,https://degen.com,2025-09-19,no,degen.com,not contacted,,
3-102-938960 SRL,1,,no,Warriorbet,https://warriorbet.io,2025-09-30,yes,warriorbet.io,not contacted,,
3-102-940901 SRL,1,,no,TucanBit,https://tucanbit.io,2025-09-30,yes,tucanbit.io,not contacted,,
Metlait SRL,1,,no,Lucky Elf Casino,https://luckyelfcasino.com,2025-09-30,no,luckyelfcasino.com,not contacted,,
Rtech LTD,1,,no,Arba777,https://arba777.com,2025-09-30,no,arba777.com,not contacted,,
Karthala Ventures Ltd,1,,no,Megasino,https://megasino.win,2025-10-09,no,megasino.win,not contacted,,
Pacific Edge Ltd.,1,,no,YEET,https://yeet.com,2025-10-13,no,yeet.com,not contacted,,
3-102-939877 SRL,1,,no,IMPERIABET,https://imperia.bet,2025-10-16,yes,imperia.bet,not contacted,,
3-102-942052 SRL,1,,no,Casino 007,https://casino007.com,2025-10-16,yes,casino007.com,not contacted,,
3-102-943707 SRL,1,,no,Welvura,https://welvura1.com,2025-10-16,yes,welvura1.com,not contacted,,
GF CLUB Seven Seven Limitada,1,,no,Sports Betting & Online Casino,https://betet77.com,2025-10-16,no,betet77.com,not contacted,,
Lucky AML Ltd,1,,no,Jogue America Loto,https://americaloto.com,2025-10-16,no,americaloto.com,not contacted,,
MILLENNIUM LIMITED,1,,no,Case,https://case-battle.com,2025-10-16,no,case-battle.com,not contacted,,
Rich Able Developments Limited,1,,no,Exchange,https://maxxcric.com,2025-10-16,no,maxxcric.com,not contacted,,
Chance Ltd,1,,no,Chance,https://chance.net,2025-10-27,no,chance.net,not contacted,,
3-102-945833 SRL,1,,no,BUFFALO,https://buffalo-casino.com,2025-10-29,yes,buffalo-casino.com,not contacted,,
Asoftgame Limited,1,,no,BkmWin,https://bkmwin.com,2025-10-29,no,bkmwin.com,not contacted,,
Aurora Soft Ltd,1,,no,Loading,https://u.game,2025-10-29,no,u.game,not contacted,,
BeLion International Holdings Ltd.,1,,no,Forza.Bet,https://forzabet.live,2025-10-29,no,forzabet.live,not contacted,,
Nuveau Ltd,1,,no,Сoolt Casino Online,https://coolt.casino,2025-10-29,no,coolt.casino,not contacted,,
Savoska LLC,1,,no,Linebet,https://linebetglobal.com,2025-10-29,no,linebetglobal.com,not contacted,,
Strathvale Group Ltd,1,,no,Zunabet.com,https://zunabet.com,2025-10-29,no,zunabet.com,not contacted,,
Qos Entertainment Ltd,1,,no,라스벳,https://lasbet486.com,2025-11-07,no,lasbet486.com,not contacted,,
3-102-939534 SRL,1,,no,Play and win every day on Rumwin.com,https://rumwin.com,2025-11-08,yes,rumwin.com,not contacted,,
3-102-941391 SRL,1,,no,Casino,https://tomcasino.net,2025-11-15,yes,tomcasino.net,not contacted,,
Fruitopia Limited,1,,no,Angelspin,https://angelspin.com,2025-11-15,no,angelspin.com,not contacted,,
Fuego Ltd,1,,no,Fuegos,https://fuegos.bet,2025-11-15,no,fuegos.bet,not contacted,,
Prontogabriela SRL,1,,no,ᐈ Casino Online and Mobile,https://rooksbet.com,2025-11-15,no,rooksbet.com,not contacted,,
Bright Entertainment Inc,1,,no,porkbun.com,https://flex2bet.com,2025-11-19,no,flex2bet.com,not contacted,,
3-102-943011 SRL,1,,no,Play Casino Games with Bitcoin & Crypto,https://dicey.com,2025-11-30,yes,dicey.com,not contacted,,
3-102-946565 SRL,1,,no,8win,https://8win.com.my,2025-11-30,yes,8win.com.my,not contacted,,
3-102-948637 SRL,1,,no,sureWin,https://surewin168.com,2025-11-30,yes,surewin168.com,not contacted,,
Highcard Software SRL,1,,no,Blockchain Poker,https://blockchain.poker,2025-11-30,no,blockchain.poker,not contacted,,
Netsolution Holding Ltd.,1,,no,Bet502,https://bet502.com,2025-11-30,no,bet502.com,not contacted,,
Overcooked Entertainment Ltd.,1,,no,riskiiit,https://riskiiit.com,2025-11-30,no,riskiiit.com,not contacted,,
3-102-936714 SRL,1,,no,Stack.bet,https://stack.bet,2025-12-15,yes,stack.bet,not contacted,,
3-102-945060 SRL,1,,no,Lebull,https://lebull.com,2025-12-15,yes,lebull.com,not contacted,,
3-102-947042 SRL,1,,no,Temporary Auth,https://1winbets.pro,2025-12-15,yes,1winbets.pro,not contacted,,
3-102-948725 SRL,1,,no,Hyperwin,https://hyperwin.org,2025-12-15,yes,hyperwin.org,not contacted,,
Nexluck Ltd,1,,no,LUKKLY Casino,https://lukkly.com,2025-12-15,no,lukkly.com,not contacted,,
Nicosia Betting Ltd,1,,no,Ana Sayfa,https://kktcbet.com,2025-12-15,no,kktcbet.com,not contacted,,
Vega Technologies Holding Limited,1,,no,VegaBro Casino,https://vegabro.com,2025-12-15,no,vegabro.com,not contacted,,
3-102-946302 SRL,1,,no,Bolt Casino,https://bolt-casino.com,2025-12-22,yes,bolt-casino.com,not contacted,,
3-102-946905 SRL,1,,no,CS2SKIN,https://cs2skin.com,2025-12-22,yes,cs2skin.com,not contacted,,
3-102-948797 SRL,1,,no,TuBetRD,https://tubetrd.com,2025-12-22,yes,tubetrd.com,not contacted,,
Red Fisch Inc,1,,no,Return to Player,https://returntoplayer.io,2025-12-22,no,returntoplayer.io,not contacted,,
Triglyph Technologies Ltd,1,,no,SCATTR,https://scattr.com,2025-12-22,no,scattr.com,not contacted,,
VitaCore Limited,1,,no,Casino,https://wilderbet.com,2025-12-22,no,wilderbet.com,not contacted,,
Liberty Walk Ltd,1,,no,Nuevo Alojamiento,https://ohmywin.com,2026-01-05,no,ohmywin.com,not contacted,,
3-102-939867 Limitada,1,,no,DegenCity Casino,https://degencity.com,2026-01-15,no,degencity.com,not contacted,,
3-102-940146 SRL,1,,no,Redneckspins,https://redneckspins.com,2026-01-15,yes,redneckspins.com,not contacted,,
3-102-947122 SRL,1,,no,Jeevybet,https://jeevybet.com,2026-01-15,yes,jeevybet.com,not contacted,,
AZIZI GLOBAL GROUP INC,1,,no,AZIZIStake,https://azizistake.com,2026-01-15,no,azizistake.com,not contacted,,
Coderstuff Ltd.,1,,no,air1bet,https://ibitplay.com,2026-01-15,no,ibitplay.com,not contacted,,
EXENTIA LTD,1,,no,403,https://ilove.casino,2026-01-15,no,ilove.casino,not contacted,,
LeClub Bet Ltd,1,,no,LeClubBet,https://leclubbet.com,2026-01-15,no,leclubbet.com,not contacted,,
Meta Jack Inc.,1,,no,Crash2x Casino,https://crash2x.com,2026-01-15,no,crash2x.com,not contacted,,
SSA Technologies Ltd.,1,,no,Betbanksy,https://betbanksy.com,2026-01-15,no,betbanksy.com,not contacted,,
Star Moss Ltd,1,,no,Artemisbet,https://artemisbet.com,2026-01-15,no,artemisbet.com,not contacted,,
Xtreme Platforms Limited,1,,no,SpinXtreme,https://spinxtreme.com,2026-01-15,no,spinxtreme.com,not contacted,,
Zenorix Limited,1,,no,Hello There!,https://regal.casino,2026-01-22,no,regal.casino,not contacted,,
August Gaming Ltd,1,,no,Winro,https://winro.io,2026-01-24,no,winro.io,not contacted,,
Summer Spins Ltd,1,,no,Under maintenance,https://jogpix.com,2026-01-24,no,jogpix.com,not contacted,,
3-102-944260 SRL,1,,no,Sweatbet,https://sweatbet.io,2026-01-31,yes,sweatbet.io,not contacted,,
3-102-948639 SRL,1,,no,LikeCasino,https://like.casino,2026-01-31,yes,like.casino,not contacted,,
3-102-948660 SRL,1,,no,Rugs,https://rugs.fun,2026-01-31,yes,rugs.fun,not contacted,,
3-102-949997 SRL,1,,no,Hello There!,https://peakbet.io,2026-01-31,yes,peakbet.io,not contacted,,
3-102-950481 Limitada,1,,no,Hello There!,https://wildwin.io,2026-01-31,no,wildwin.io,not contacted,,
3-102-952740 SRL,1,,no,Winup,https://winup.io,2026-01-31,yes,winup.io,not contacted,,
BTR Gaming LTD,1,,no,Plump,https://plump.com,2026-01-31,no,plump.com,not contacted,,
FX Solutions Ltd,1,,no,Переход на новый сайт,https://fixa.casino,2026-01-31,no,fixa.casino,not contacted,,
Laulani Investment Ltd,1,,no,Oyun Zamanı!,https://roketbahis.com,2026-01-31,no,roketbahis.com,not contacted,,
Moon International Ltd,1,,no,Moon,https://moon.com,2026-01-31,no,moon.com,not contacted,,
Solid X Ltd,1,,no,GameSlots,https://gameslots.com,2026-02-01,no,gameslots.com,not contacted,,
Fuego Mediatech Ltd,1,,no,Nolimit,https://nolimit.com,2026-02-06,no,nolimit.com,not contacted,,
Kingslayer Entertainment Ltd,1,,no,Betoriz lic,https://betoriz.com,2026-02-06,no,betoriz.com,not contacted,,
