source,tier,domain,brand,email,email_source,operator,licence,licence_status,expiry,confidence,flag,status,contacted_on,recheck_verdict,recheck_live,recheck_http,recheck_title,recheck_reason,recheck_date
anjouan,B,starzbet.com,Starzbet,winwith@infernopartners.com,affiliate page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Starzbet | Online Sports Betting, Casino & Live Games",,2026-08-14
anjouan,B,dodobet.com,Dodobet global,marketing@dodobetglobal.com,affiliate page,Obsidian Titan Limited,ALSI-202602052-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Dodobet global,,2026-08-14
anjouan,B,matadorbet.com,Matadorbet,destek@matadorbet.com,contact page,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Matadorbet ⚡️ Matadorbet Giriş 2026 ⚡️,,2026-08-14
anjouan,B,zbahis.com,Zbahis,support@zbahis.com,contact page,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Zbahis Bahis ve Casino Sitesi | Zbahis Giriş | Zbahis Resmi Sitesi,,2026-08-14
anjouan,B,spinman.com,Spinman,support@spinman.com,affiliate page,Fortuna Digital Solutions FDS Limitada,ALSI-202509068-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Spinman - Online Casino. Top 100 AAA+ Slots & Live Tables.,,2026-08-14
anjouan,B,partybet.ai,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,PartyBet — Bet With Friends in the Chat,,2026-08-14
anjouan,B,partybet.casino,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,PartyBet — Bet With Friends in the Chat,,2026-08-14
anjouan,B,partybet.fun,Partybet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Partybet,,2026-08-14
anjouan,B,partybet.social,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,PartyBet — Bet With Friends in the Chat,,2026-08-14
anjouan,B,partybet.bot,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,PartyBet — Bet With Friends in the Chat,,2026-08-14
anjouan,B,partybet.win,PartyBet,support@partybet.fun,affiliate page,On Read SRL,ALSI-202508060-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,PartyBet — Bet With Friends in the Chat,,2026-08-14
anjouan,B,bizbet.mobi,BizBet Africa,support-en@africa-bizbet.com,contact page,Gameway Global LLC,ALSI-202511025-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,BizBet Africa Official Website | Sports Betting & Live Odds,,2026-08-14
anjouan,B,bizbet-biz.com,Bizbet Biz,support-en@bizbet-biz.com,contact page,Gameway Global LLC,ALSI-202511025-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Online bookmaker in Egypt | Official website BizBet-Biz | bizbet-biz.com,,2026-08-14
anjouan,B,africa-bizbet.com,BizBet Africa,support-en@africa-bizbet.com,contact page,Gameway Global LLC,ALSI-202511025-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,BizBet Africa Official Website | Sports Betting & Live Odds,,2026-08-14
anjouan,B,evetabi.com,EvetAbi,info@evetabi.com,affiliate page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,EvetAbi,,2026-08-14
anjouan,B,letou.com,Letou,cs@letou.com,affiliate page,RegalTech Solutions Limitada,ALSI-202602046-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,lt.com,Lt,cs@letou.com,affiliate page,RegalTech Solutions Limitada,ALSI-202602046-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,afrislots.net,AfriSlots,legal@afrislots.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"AfriSlots — Online Casino, Slots & Live Games",,2026-08-14
anjouan,B,gbetplay.net,Gbet,abuse@gbetplay.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Gbet Casino — Level Up Your Luck,,2026-08-14
anjouan,B,ganamega.net,GanaMega,support@ganamega.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"GanaMega Casino — Up to €1,500 + 200 Free Spins",,2026-08-14
anjouan,B,elvisluck.net,ElvisLuck,hello@elvisluck.net,contact page,Juicecraft Limited,ALSI-202511012-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,ElvisLuck Casino — Your Lucky Casino,,2026-08-14
anjouan,B,vegazcasino.com,vegazcasino,info@affpartnergroup.com,affiliate page,MOONSEEKER SRL,ALSI-202509006-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,vegazcasino,,2026-08-14
anjouan,B,volacasino.com,Vola,info@volacasino.com,affiliate page,Nowplatform Ltd.,ALSI-202509021-Fll,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Vola Casino,,2026-08-14
anjouan,B,bhaicasino.com,BhaiCasino,support@bhaicasino.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,BhaiCasino,,2026-08-14
anjouan,B,bluebetz.com,Bluebetz,support@bluebetz.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Bluebetz,,2026-08-14
anjouan,B,cwinz.com,Cwinz,support@cwinz.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Cwinz Online Casino | Slots, Live Games & Sports Bets",,2026-08-14
anjouan,B,jokertipp.com,Joker Tipp,support@jokertipp.com,contact page,Mirella Ltd,ALSI-202509009-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,kirabet.com,Kira.Bet,info@kirabet.com,affiliate page,Arkevia Group Ltd,ALSI-202510025-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Kira.Bet | Best Online Casino Maldives | Maldives Bet | Maldives Casino Kira.Bet | Best On,,2026-08-14
anjouan,B,molcasino.com,Mol,info@molcasino.com,affiliate page,Arkevia Group Ltd,ALSI-202510025-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Mol.Casino | Baccarat, Roulette, Slot Games ,Crypto Deposit",,2026-08-14
anjouan,B,tomi.club,Tomi,info@tomi.club,affiliate page,Arkevia Group Ltd,ALSI-202510025-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Tomi : Crypto Casino & Sports Betting Best Online Casino Maldives | Maldives Bet | Maldive,,2026-08-14
anjouan,B,twixos.com,Twixos,privacy@twixos.com,contact page,Global Score Ltd,ALSI-202509002-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Twixos — Compete. Verify. Win. | Licensed Skill-Gaming Arena,,2026-08-14
anjouan,B,cooked.com,Cooked,support@cooked.com,affiliate page,Digital Chain Ventures SRL,ALSI-202509004-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Cooked Casino | Play Online Slots, Table Games & Live Dealers",,2026-08-14
anjouan,B,j8de.io,J8DE,support@j8de.io,affiliate page,3-102-937610 SRL,ALSI-202510054-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,J8DE,,2026-08-14
anjouan,B,kush.casino,Kush,support@kush.casino,contact page,3-102-937610 SRL,ALSI-202510054-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Казино Куш. Рабочее зеркало. Официальный сайт Kush Casino в России,,2026-08-14
anjouan,B,blockdag.co,BlockDAG,commercials@blockdag.co,affiliate page,3-102-946540 SRL,ALSI-202511024-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,BlockDAG,,2026-08-14
anjouan,B,luckyclash.io,Early Access,info@luckyclash.info,affiliate page,Prime Entertainment Ltd,ALSI-202603032-FI1,,2027-03-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Early Access · LuckyClash,,2026-08-14
anjouan,B,fenixbet.online,FenixBet,support@fenixbet.online,contact page,Spiritus Limited,ALSI-202603056-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,FenixBet,,2026-08-14
anjouan,B,orowin.bet,Orowin,support@orowin.bet,contact page,Win Vision N.V.,ALSI-202605001-FI1,,2027-05-07,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Orowin Casino: Play the Best Slots and Win Big Today!,,2026-08-14
anjouan,B,sikkaro.bet,Sikkarobet,support@sikkaro.bet,contact page,Win Vision N.V.,ALSI-202605001-FI1,,2027-05-07,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Sikkarobet: Best Online Casino in Pakistan | Play & Win,,2026-08-14
anjouan,B,funbet888.me,Funbet,reach.us@funbet.me,affiliate page,3-102-938581 Limitada,ALSI-202508066-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Funbet,,2026-08-14
anjouan,B,funbet.me,Funbet,reach.us@funbet.me,affiliate page,3-102-938581 Limitada,ALSI-202508066-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Funbet,,2026-08-14
anjouan,B,grizzly.online,Grizzly,affiliate@grizzly.bingo,affiliate page,GC Service Group Ltd,ALSI-202508052-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,gone,no,200,,near-empty response,2026-08-14
anjouan,B,grizzly.win,Grizzly,affiliate@grizzly.bingo,affiliate page,GC Service Group Ltd,ALSI-202508052-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Casino Grizzly,,2026-08-14
anjouan,B,369wins.com,369Wins,support@369wins.com,affiliate page,Anzal Ltd,ALSI-202510004-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,369WINS,,2026-08-14
anjouan,B,gold24x7.com,Gold,admin@gold.casino,affiliate page,3-102-944744 SRL,ALSI-202510061-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Gold Casino,,2026-08-14
anjouan,B,playbet.io,Playbet,info@playbet.io,affiliate page,Aurevia Digital Ventures Ltd,ALSI-202510058-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Online Crypto Casino & Sportsbook | Playbet,,2026-08-14
anjouan,B,getwin.online,Getwin,support@getwin.online,affiliate page,3-102-945845 SRL,ALSI-202511035-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,fortislots.com,Fortislots,support@fortislots.com,affiliate page,3-102-945845 SRL,ALSI-202511035-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,FortiSlots: Win Big with Exciting Betting Options,,2026-08-14
anjouan,B,pro11casino.com,Pro11casino,support@pro11casino.com,affiliate page,3-102-947393 SRL,ALSI-202511030-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Pro11casino,,2026-08-14
anjouan,B,aryanbet.com,Aryanbet,info@aryanbet.com,affiliate page,3-102-946386 SRL,ALSI-202512003-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Aryanbet | Sports betting & Casino & Virtual Sports & Turbo Games,,2026-08-14
anjouan,B,drazzewin.com,Drazze,partners@drazze.casino,affiliate page,Drazze Limited,ALSI-202512040-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Drazze - Онлайн казино,,2026-08-14
anjouan,B,drazze.casino,Drazze,partners@drazze.casino,affiliate page,Drazze Limited,ALSI-202512040-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Drazze - Онлайн казино,,2026-08-14
anjouan,B,roulobets.com,Roulo,support@roulo.gg,affiliate page,Roulo Interactive Games LLC,ALSI-202602053-FI2,,2027-02-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Roulo: Online Casino - Play & Bet Online,,2026-08-14
anjouan,B,bet808.com,Bet808,support@bet808.com,affiliate page,Play Fortune Entertainment Ltd,ALSI-202603053-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Betting website,,2026-08-14
anjouan,B,gamblit.net,Gamblit,support@gamblit.net,affiliate page,3-102-954785 LIMITADA,ALSI-202604028-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,ezcash.casino,EZCASH,support@ezcash.casino,contact page,EZCS Solutions Ltd,ALSI-202509047-FI1,,2026-09-02,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,EZCASH,,2026-08-14
anjouan,B,megapot.io,Megapot,support@megapot.io,contact page,Megapot Inc,ALSI-202510018-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Megapot - $1 million lottery,,2026-08-14
anjouan,B,whalebet.gg,WhaleBet,partners@whalebet.gg,affiliate page,3-102-942955 SRL,ALSI-202511004-FI1,,2026-11-03,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,WhaleBet Online Casino & Sports Betting | Official Website,,2026-08-14
anjouan,B,slot.win,Slot,support@slot.win,affiliate page,3-102-942828 SRL,ALSI-202511006-FI1,,2026-11-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Slot.win — Online Crypto Casino | 3,000+ Games & Instant Payouts",,2026-08-14
anjouan,B,stakeboss.com,Stakeboss Home,support@stakeboss.com,contact page,3-102-947775 Limitada,ALSI-202511052-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Stakeboss Home | Stakeboss,,2026-08-14
anjouan,B,aldex.win,Aldex Win,support@aldex.com,contact page,Aldex Win Ltd,ALSI-202512034-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Aldex Win – Top Slots, Live Games & Fast Payouts",,2026-08-14
anjouan,B,luminous.casino,Luminous,support@luminous.casino,contact page,LuminousCompany Ltd.,ALSI-202601036-FI1,,2027-01-04,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Luminous Casino. Online Casino South Africa,,2026-08-14
anjouan,B,betida.com,BETIDA,partner@betida.com,affiliate page,Betida Entertainment Ltd,ALSI-202512002-FI1,,2026-12-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,BETIDA - Casino and Sports site,,2026-08-14
anjouan,B,gamwiz.com,Gamwiz,support@gamwiz.com,affiliate page,Gamwiz Inc,ALSI-202602039-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Gamwiz - Online Social Casino & Sportbook,,2026-08-14
anjouan,B,cat2bet.com,Cat2Bet,sac@cat2bet.com,contact page,Terravista Entertainment Ltd,ALSI-202603022-FI1,,2027-03-08,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Cat2Bet - Casino en línea y apuestas deportivas,,2026-08-14
anjouan,B,hyperoll.com,Hyperoll Crypto,contact@hyperoll.com,contact page,Quantum House Ltd,ALSI-202602027-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Hyperoll Crypto Casino | 35% Rakeback Built Into Every Bet | Casino,,2026-08-14
anjouan,B,sansli.io,Sansli,support@sansli.io,contact page,Dragonfruit Limited,ALSI-202603060-FI2,,2027-03-30,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Sansli - Best Online Games,,2026-08-14
anjouan,B,trenchbet.com,Trench Bet,support@trenchbet.com,affiliate page,Lock In Capital Ltd,ALSI-202604039-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,casinityx.com,casinityx,support@casinityx.com,affiliate page,3-102-942477 SRL,ALSI-202509036-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,casinityx,,2026-08-14
anjouan,B,wildroll.com,WildRoll,support@wildroll.com,affiliate page,Jackpot Junction Limited,ALSI-202509011-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"WildRoll Online Casino | Fast, Fair & Flawless Crypto Gaming",,2026-08-14
anjouan,B,dustbit.com,Dustbit,support@dustbit.com,affiliate page,Oxilium Limited,ALSI-202509012-FI1,,2026-09-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Dustbit – Crypto Casino & Sports Betting,,2026-08-14
anjouan,B,degen.com,Degen,support@degen.com,affiliate page,Degen Legend Limitada,ALSI-202509061-FI2,,2026-09-18,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Degen,,2026-08-14
anjouan,B,arba777.com,Arba777,support@arba777.com,affiliate page,Rtech LTD,ALSI-202509056-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Arba777 - Online Sports Betting & Casino Platform,,2026-08-14
anjouan,B,casino007.com,Casino007,affiliate@casino007.com,affiliate page,3-102-942052 SRL,ALSI-202510008-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Casino 007,,2026-08-14
anjouan,B,betet77.com,Sports,support@betet77.com,affiliate page,GF CLUB Seven Seven Limitada,ALSI-202510016-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Sports Betting & Online Casino | Betet77,,2026-08-14
anjouan,B,zunabet.com,Zunabet.com,affiliates@zunabet.com,affiliate page,Strathvale Group Ltd,ALSI-202510047-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,ZunaBet: Exciting New Crypto Casino Launching Soon | BetZuna,URLError,2026-08-14
anjouan,B,forzabet.live,Forza.Bet,support@forzabet.live,affiliate page,BeLion International Holdings Ltd.,ALSI-202510053-FI2,,2026-10-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Forza.Bet - Online Casino,,2026-08-14
anjouan,B,bolt-casino.com,Bolt,contact@bolt-casino.com,affiliate page,3-102-946302 SRL,ALSI-202512028-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Bolt Casino – Instant Crypto Withdrawals | Play Now,,2026-08-14
anjouan,B,degencity.com,DegenCity,support@degencity.com,affiliate page,3-102-939867 Limitada,ALSI-202601025-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,DegenCity Casino | Top Crypto Slots & Table Games,,2026-08-14
anjouan,B,jeevybet.com,Jeevybet,support@jeevybet.com,affiliate page,3-102-947122 SRL,ALSI-202601034-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Jeevybet,,2026-08-14
anjouan,B,betbanksy.com,Betbanksy,affiliate@betbanksy.com,affiliate page,SSA Technologies Ltd.,ALSI-202601017-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,winup.io,Winup,support@winup.io,affiliate page,3-102-952740 SRL,ALSI-202601062-FI2,,2027-01-30,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Winup,,2026-08-14
anjouan,B,metawin.com,Metawin,affiliates@arena.com,affiliate page,Rivolo Limited,ALSI-202602025-FI1,,2027-02-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,B,castle.com,Castle,partners@castle.com,affiliate page,Broken Tentacle Ltd,ALSI-202602048-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,"Castle | The most immersive, community-driven casino ever built",,2026-08-14
anjouan,B,gamealotroyale.com,Gamealotroyale,support@gamealotroyale.com,affiliate page,3-102-954988 SRL,ALSI-202602051-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Gamealotroyale,,2026-08-14
anjouan,B,batcasino.bet,Batcasino,support@batcasino.bet,affiliate page,3-102-953033 SRL,ALSI-202602037-FI2,,2027-02-27,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Batcasino,,2026-08-14
anjouan,B,maksibet.com,Maksibet,info@maksibet.com,affiliate page,3-102-939685 SRL,ALSI-202603030-FI1,,2027-03-07,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Online Casino ve Spor Bahisleri,,2026-08-14
anjouan,B,lugarbet.com,LugarBet,support@lugarbet.com,affiliate page,3-102-951260 SRL,ALSI-202603001-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,LugarBet,,2026-08-14
anjouan,B,bettogames.com,Bettogames,support@bettogames.com,affiliate page,3-102-954365 SRL,ALSI-202603002-FI1,,2027-03-13,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Bettogames,,2026-08-14
anjouan,B,cosmoracasinos.com,Cosmoracasinos,support@cosmoracasinos.com,affiliate page,3-102-958311 SRL,ALSI-202604029-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Cosmoracasinos,,2026-08-14
anjouan,C,fixbet.com,Fixbet,destek@fixbet.com,contact page,Galactic Infinity Ltd,ALSI-202511048-FI2,,2026-11-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Fixbet Bahis ve Casino Sitesi | Fixbet Giriş | Fixbet Resmi Sitesi,,2026-08-14
anjouan,C,levabet.com,LevaBet,affiliate@levabet.com,affiliate page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,blocked,no,403,,HTTP 403,2026-08-14
anjouan,C,betpir.com,Betpir,affiliate@betpir.com,contact page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,blocked,no,403,,HTTP 403,2026-08-14
anjouan,C,matixbet.com,MatixBet,affiliate@matixbet.com,affiliate page,Mistletoe Ltd,ALSI-202508061-FI2,,2026-08-28,licence-matched,,DRAFT ONLY — NOT SENT,,blocked,no,403,,HTTP 403,2026-08-14
anjouan,C,ustabet.com,Ustabet,support@ustabet.com,affiliate page,Real Tech Ltd,ALSI-202601013-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,...,,2026-08-14
anjouan,C,betbeto.com,Betbeto,support@betbeto.com,affiliate page,Capitanos Games Ltd,ALSI-202509071-FI2,,2026-09-29,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,,,2026-08-14
anjouan,C,betmarino.com,Betmarino,chupurnov@gmail.com,affiliate page,Real Tech Ltd,ALSI-202601013-FI1,,2027-01-14,licence-matched,,DRAFT ONLY — NOT SENT,,blocked,no,403,,HTTP 403,2026-08-14
anjouan,C,fortunehub.io,Fortune HUB,support@fortunehub.io,contact page,Fortune HUB OÜ,ALSI-202512031-FI1,,2026-12-21,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Fortune HUB | Licensed Gaming Operator,,2026-08-14
anjouan,C,betsmove.com,Betsmove,support@betsmove.com,contact page,Vesaro Limited,ALSI-202604046-FI2,,2027-04-28,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Betsmove – Resmi Site ve Güncel Giriş | Betsmove.com,,2026-08-14
anjouan,C,betfal.com,Home,info@betfal.com,contact page,Anzal Ltd,ALSI-202510004-FI1,,2026-10-15,licence-matched,,DRAFT ONLY — NOT SENT,,live,yes,200,Betfal | Play Casino Games & Bet on Sports - Betfal,,2026-08-14
